Rack	Pos	PopID	Mom	Indiv	Trt	Origin	Wilt	TotWilt	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	ID
RO002.22.j	2	21	RO002	22	j	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.22.j
UA001.22.a	2	24	UA001	22	a	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA001.22.a
CA007.3.c	2	25	CA007	3	c	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA007.3.c
US003.28.h	2	26	US003	28	h	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.28.h
US014.22.b	2	27	US014	22	b	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.22.b
US023.45.a	2	28	US023	45	a	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US023.45.a
US015.2.a	2	30	US015	2	a	nut def	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.2.a
BG001.22.c	2	31	BG001	22	c	nut def	nat	NA	NA	16	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			BG001.22.c
GR001.6.c	2	32	GR001	6	c	nut def	nat	NA	NA	14	NA	NA		18	18	1	2	NA	38	1	26	NA	69	1	28		69	white		GR001.6.c
TR003.6.d	2	33	TR003	6	d	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR003.6.d
RU005.6.a	2	35	RU005	6	a	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU005.6.a
RU001.10.a	2	38	RU001	10	a	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU001.10.a
US002.1.l	2	39	US002	1	l	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.1.l
UA003.9A.c	2	41	UA003	9A	c	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.9A.c
US011.8.d	2	42	US011	8	d	nut def	inv	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US011.8.d
UA006.10.c	2	43	UA006	10	c	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA006.10.c
RO003.11.d	2	44	RO003	11	d	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO003.11.d
US022.42.h	2	47	US022	42	h	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US022.42.h
UA008.18.f	2	50	UA008	18	f	nut def	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA008.18.f
US003.19.j	3	1	US003	19	j	flood	inv	NA	NA	7	25	NA	F1-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.19.j
CA001.2.d	3	4	CA001	2	d	flood	inv	NA	NA	7	36	16	F1-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.2.d
US002.17.g	3	6	US002	17	g	flood	inv	NA	NA	6	25	24	FLOAT-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.17.g
US015.2.f	3	7	US015	2	f	flood	inv	NA	NA	8	17	15	FLOAT-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.2.f
UA003.9A.h	3	8	UA003	9A	h	flood	nat	NA	NA	8	15	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.9A.h
UA004.15.j	3	12	UA004	15	j	flood	nat	NA	NA	7	21	20	FLOAT-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.15.j
RU005.5.c	3	14	RU005	5	c	flood	nat	NA	NA	6	29	24	FLOAT-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU005.5.c
BG001.29.h	3	16	BG001	29	h	flood	nat	NA	NA	6	24	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			BG001.29.h
UA005.15.f	3	17	UA005	15	f	flood	nat	NA	NA	8	NA	20	F1-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA005.15.f
UA001.25.g	3	19	UA001	25	g	flood	nat	NA	NA	8	20	14	FLOAT-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA001.25.g
CA008.5.h	3	20	CA008	5	h	flood	inv	NA	NA	6	11	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA008.5.h
US001.20.a	3	22	US001	20	a	flood	inv	NA	NA	6	29	24	FLOAT-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.20.a
RO003.9.c	3	24	RO003	9	c	flood	nat	NA	NA	6	14	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO003.9.c
RU001.7.i	3	27	RU001	7	i	flood	nat	NA	NA	8	NA	18	F1-27	69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	9.5		NA			RU001.7.i
CA007.3.b	3	28	CA007	3	b	flood	inv	NA	NA	8	19	18	FLOAT-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA007.3.b
RO005.17.g	3	31	RO005	17	g	flood	nat	NA	NA	8	15	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.17.g
RU008.19.a	3	35	RU008	19	a	flood	nat	NA	NA	7	14	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.19.a
UA006.24.h	3	36	UA006	24	h	flood	nat	NA	NA	5	17	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA006.24.h
TR001.19.g	3	39	TR001	19	g	flood	nat	NA	NA	6	19	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR001.19.g
US011.8.h	3	41	US011	8	h	flood	inv	NA	NA	5	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US011.8.h
UA008.25.a	3	42	UA008	25	a	flood	nat	NA	NA	7	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA008.25.a
TR004.27.e	3	43	TR004	27	e	flood	nat	NA	NA	8	11	11	Floating Free	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR004.27.e
RO002.13.f	3	44	RO002	13	f	flood	nat	NA	NA	6	19	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.13.f
RO004.21.f	3	45	RO004	21	f	flood	nat	NA	NA	6	12	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO004.21.f
HU001.13.j	3	46	HU001	13	j	flood	nat	NA	NA	8	NA	17	F1-46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			HU001.13.j
US014.22.e	3	47	US014	22	e	flood	inv	NA	NA	8	19	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.22.e
GR001.14.b	3	48	GR001	14	b	flood	nat	NA	NA	7	24	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR001.14.b
GR002.25.h	3	49	GR002	25	h	flood	nat	NA	NA	5	12	12	Floating Free	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR002.25.h
GR003.3.m	3	50	GR003	3	m	flood	nat	NA	NA	6	24	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.3.m
RO002.12.e	4	1	RO002	12	e	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.12.e
RU008.17.g	4	2	RU008	17	g	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.17.g
RO003.9.e	4	5	RO003	9	e	cut	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	23		NA			RO003.9.e
UA008.13.i	4	8	UA008	13	i	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA008.13.i
US014.22.g	4	15	US014	22	g	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.22.g
BG001.22.i	4	19	BG001	22	i	cut	nat	NA	NA	NA	NA	NA		53	NA	NA	NA	NA	53	1	4	NA	69	1	32.5		NA			BG001.22.i
TR001.19.a	4	20	TR001	19	a	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR001.19.a
RU001.2.a	4	21	RU001	2	a	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU001.2.a
US001.3.j	4	22	US001	3	j	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.3.j
CA001.2.e	4	24	CA001	2	e	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.2.e
GR003.3.e	4	25	GR003	3	e	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.3.e
RO005.14.h	4	26	RO005	14	h	cut	nat	NA	NA	15	NA	NA		32	NA	NA	NA	NA	39	1	20.6	NA	69	1	33.2		NA			RO005.14.h
UA004.18.i	4	27	UA004	18	i	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.18.i
UA003.7A.d	4	28	UA003	7A	d	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.7A.d
HU001.28.c	4	29	HU001	28	c	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			HU001.28.c
TR004.14.h	4	31	TR004	14	h	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR004.14.h
RO001.28.g	4	32	RO001	28	g	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO001.28.g
US003.28.g	4	33	US003	28	g	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.28.g
GR001.14.l	4	35	GR001	14	l	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR001.14.l
RO004.13.f	4	40	RO004	13	f	cut	nat	NA	NA	NA	NA	NA		29	NA	NA	NA	NA	39	1	31.2	NA	69	1	31.2		69	white		RO004.13.f
US021.8.b	4	41	US021	8	b	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US021.8.b
UA001.25.a	4	45	UA001	25	a	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA001.25.a
US015.17.g	4	47	US015	17	g	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.17.g
US002.22.c	4	49	US002	22	c	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.22.c
US023.41.b	4	50	US023	41	b	cut	inv	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US023.41.b
TR003.15.e	5	1	TR003	15	e	control	nat	NA	NA	NA	NA	NA		38	NA	NA	NA	NA	38	1	20.6	NA	69	2	36.5	21	NA	purple		TR003.15.e
CA001.3.g	5	6	CA001	3	g	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.3.g
CA007.3.a	5	7	CA007	3	a	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA007.3.a
UA008.13.a	5	8	UA008	13	a	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA008.13.a
RO001.21.i	5	9	RO001	21	i	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO001.21.i
