PopID	Rack	Pos	Mom	Indiv	Origin	Trt	Wilt	TotWilt	Death	Note	ID	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log	Latitude	Longitude	lxw
45	HU001	37	10	24	e	nat	drought	3	6	8		HU001.24.e	10	20.5	2	3.16227766016838	3.02042488614436	0.693147180559945	47.6419444444444	18.7825	41
46	RO001	19	13	21	j	nat	drought	5	7	12		RO001.21.j	10	11.4	2.1	3.16227766016838	2.43361335540045	0.741937344729377	44.1102777777778	28.6369444444444	23.94
47	RO001	17	20	21	b	nat	drought	5	8	12		RO001.21.b	5	8	1.2	2.23606797749979	2.07944154167984	0.182321556793955	44.1102777777778	28.6369444444444	9.6
48	RO001	48	18	12	g	nat	drought	3	7	17		RO001.12.g	8	19	5.6	2.82842712474619	2.94443897916644	1.7227665977411	44.1102777777778	28.6369444444444	106.4
49	RO001	46	26	12	c	nat	drought	5	9	14		RO001.12.c	7	15.5	3.2	2.64575131106459	2.7408400239252	1.16315080980568	44.1102777777778	28.6369444444444	49.6
50	RO001	37	27	6	f	nat	drought	3	4	13		RO001.6.f	12	20	3.5	3.46410161513775	2.99573227355399	1.25276296849537	44.1102777777778	28.6369444444444	70
51	RO001	50	38	6	d	nat	drought	3	5	15		RO001.6.d	10	15	3	3.16227766016838	2.70805020110221	1.09861228866811	44.1102777777778	28.6369444444444	45
52	RO001	1	46	6	a	nat	drought	1	3	12		RO001.6.a	12	14.6	5.4	3.46410161513775	2.68102152871429	1.68639895357023	44.1102777777778	28.6369444444444	78.84
53	RO002	46	38	13	e	nat	drought	5	6	16		RO002.13.e	9	11.6	2.6	3	2.45100509811232	0.955511445027436	43.9024333333333	28.5739166666667	30.16
54	RO002	48	37	13	b	nat	drought	5	6	12		RO002.13.b	10	12.1	2.5	3.16227766016838	2.4932054526027	0.916290731874155	43.9024333333333	28.5739166666667	30.25
55	RO002	1	8	12	f	nat	drought	3	4	12		RO002.12.f	9	15	2.7	3	2.70805020110221	0.993251773010283	43.9024333333333	28.5739166666667	40.5
56	RO002	17	49	13	a	nat	drought	8	11	16		RO002.13.a	6	8.4	1.3	2.44948974278318	2.12823170584927	0.262364264467491	43.9024333333333	28.5739166666667	10.92
57	RO002	37	15	12	k	nat	drought	5	10	13		RO002.12.k	7	10.5	2	2.64575131106459	2.35137525716348	0.693147180559945	43.9024333333333	28.5739166666667	21
58	RO002	19	47	22	g	nat	drought	1	3	12		RO002.22.g	10	12.4	2.4	3.16227766016838	2.51769647261099	0.8754687373539	43.9024333333333	28.5739166666667	29.76
59	RO002	50	5	12	j	nat	drought	6	7	14		RO002.12.j	9	12.3	2.9	3	2.50959926237837	1.06471073699243	43.9024333333333	28.5739166666667	35.67
60	RO003	1	17	4	h	nat	drought	3	5	12		RO003.4.h	10	14	3	3.16227766016838	2.63905732961526	1.09861228866811	44.3896666666667	28.5266388888889	42
61	RO003	48	41	11	i	nat	drought	3	5	11		RO003.11.i	7	11.2	2.1	2.64575131106459	2.41591377830105	0.741937344729377	44.3896666666667	28.5266388888889	23.52
62	RO003	17	14	21	c	nat	drought	4	6	13		RO003.21.c	9	17.8	4	3	2.87919845729804	1.38629436111989	44.3896666666667	28.5266388888889	71.2
63	RO003	50	21	4	b	nat	drought	3	6	13		RO003.4.b	13	15.9	2.7	3.60555127546399	2.76631910922619	0.993251773010283	44.3896666666667	28.5266388888889	42.93
64	RO003	19	8	15	f	nat	drought	2	4	12		RO003.15.f	12	12.1	2.7	3.46410161513775	2.4932054526027	0.993251773010283	44.3896666666667	28.5266388888889	32.67
65	RO003	37	4	9	b	nat	drought	3	6	12		RO003.9.b	10	17	4	3.16227766016838	2.83321334405622	1.38629436111989	44.3896666666667	28.5266388888889	68
66	RO003	46	33	4	a	nat	drought	3	5	13		RO003.4.a	12	16	3.2	3.46410161513775	2.77258872223978	1.16315080980568	44.3896666666667	28.5266388888889	51.2
67	RO004	1	47	12	g	nat	drought	2	3	11		RO004.12.g	12	15	3.4	3.46410161513775	2.70805020110221	1.22377543162212	45.5761833333333	29.51805	51
68	RO004	50	34	3	h	nat	drought	4	5	14		RO004.3.h	12	17.2	3.2	3.46410161513775	2.84490938381941	1.16315080980568	45.5761833333333	29.51805	55.04
69	RO004	46	10	20	j	nat	drought	4	7	12		RO004.20.j	11	10.1	3.1	3.3166247903554	2.31253542384721	1.1314021114911	45.5761833333333	29.51805	31.31
70	RO004	17	6	3	b	nat	drought	2	4	12		RO004.3.b	12	15	3.5	3.46410161513775	2.70805020110221	1.25276296849537	45.5761833333333	29.51805	52.5
71	RO004	48	34	20	e	nat	drought	4	7	13		RO004.20.e	14	12	3	3.74165738677394	2.484906649788	1.09861228866811	45.5761833333333	29.51805	36
72	RO004	19	9	3	c	nat	drought	2	4	12		RO004.3.c	11	13.3	2.6	3.3166247903554	2.58776403522771	0.955511445027436	45.5761833333333	29.51805	34.58
73	RO004	37	1	21	b	nat	drought	4	6	12		RO004.21.b	11	13	3	3.3166247903554	2.56494935746154	1.09861228866811	45.5761833333333	29.51805	39
74	RO005	1	19	14	i	nat	drought	4	8	12		RO005.14.i	11	13.9	4	3.3166247903554	2.63188884013665	1.38629436111989	45.4978611111111	27.9118055555556	55.6
75	RO005	17	3	17	a	nat	drought	5	8	17		RO005.17.a	8	8.3	2.6	2.82842712474619	2.11625551480255	0.955511445027436	45.4978611111111	27.9118055555556	21.58
76	RO005	19	10	15	b	nat	drought	3	5	12		RO005.15.b	9	13	2.5	3	2.56494935746154	0.916290731874155	45.4978611111111	27.9118055555556	32.5
77	RO005	50	43	14	c	nat	drought	3	5	12		RO005.14.c	12	13.3	3.6	3.46410161513775	2.58776403522771	1.28093384546206	45.4978611111111	27.9118055555556	47.88
78	RO005	37	16	15	e	nat	drought	6	7	16		RO005.15.e	7	12	1.5	2.64575131106459	2.484906649788	0.405465108108164	45.4978611111111	27.9118055555556	18
79	RO005	46	13	25	j	nat	drought	3	9	12		RO005.25.j	8	10.9	2.8	2.82842712474619	2.3887627892351	1.02961941718116	45.4978611111111	27.9118055555556	30.52
80	RO005	48	30	23	e	nat	drought	3	7	13		RO005.23.e	11	17	5.6	3.3166247903554	2.83321334405622	1.7227665977411	45.4978611111111	27.9118055555556	95.2
81	RU001	46	23	6	e	nat	drought	5	6	12		RU001.6.e	12	17	4.8	3.46410161513775	2.83321334405622	1.56861591791385	51.38333333	56.8	81.6
82	RU001	1	38	2	e	nat	drought	2	4	12		RU001.2.e	13	13.7	3.5	3.60555127546399	2.61739583283408	1.25276296849537	51.38333333	56.8	47.95
83	RU001	37	43	7	j	nat	drought	3	7	13		RU001.7.j	9	11	2	3	2.39789527279837	0.693147180559945	51.38333333	56.8	22
84	RU001	19	23	2	c	nat	drought	2	4	12		RU001.2.c	12	10	3.6	3.46410161513775	2.30258509299405	1.28093384546206	51.38333333	56.8	36
85	RU001	50	7	10	b	nat	drought	6	7	13		RU001.10.b	8	11.8	2.1	2.82842712474619	2.46809953147162	0.741937344729377	51.38333333	56.8	24.78
86	RU001	48	19	10	c	nat	drought	7	10	16		RU001.10.c	8	12	3.7	2.82842712474619	2.484906649788	1.30833281965018	51.38333333	56.8	44.4
87	RU002	48	43	1	e	nat	drought	3	4	6		RU002.1.e	14	9	2.6	3.74165738677394	2.19722457733622	0.955511445027436	49.1791667	53.2422611	23.4
88	RU002	46	37	2	b	nat	drought	8	11	16		RU002.2.b	5	11	1.3	2.23606797749979	2.39789527279837	0.262364264467491	49.1791667	53.2422611	14.3
89	RU002	17	36	5	b	nat	drought	3	6	11		RU002.5.b	11	13.4	3.3	3.3166247903554	2.59525470695687	1.19392246847243	49.1791667	53.2422611	44.22
90	RU003	50	40	7	f	nat	drought	4	5	12		RU003.7.f	16	11.8	3	4	2.46809953147162	1.09861228866811	38.1625	54.8	35.4
91	RU003	37	25	7	d	nat	drought	3	7	13		RU003.7.d	15	13	3	3.87298334620742	2.56494935746154	1.09861228866811	38.1625	54.8	39
92	RU003	46	2	4	e	nat	drought	5	9	12		RU003.4.e	8	14.6	2.3	2.82842712474619	2.68102152871429	0.832909122935104	38.1625	54.8	33.58
93	RU003	1	7	1	d	nat	drought	2	5	12		RU003.1.d	11	17.5	5.6	3.3166247903554	2.86220088092947	1.7227665977411	38.1625	54.8	98
94	RU004	1	50	7	f	nat	drought	1	3	8		RU004.7.f	NA	NA	NA	NA	NA	NA	60.16666667	55.01666667	NA
95	RU004	46	29	10	c	nat	drought	3	8	13		RU004.10.c	8	15	3.7	2.82842712474619	2.70805020110221	1.30833281965018	60.16666667	55.01666667	55.5
96	RU004	48	10	5	c	nat	drought	5	6	16		RU004.5.c	NA	NA	NA	NA	NA	NA	60.16666667	55.01666667	NA
97	RU005	17	8	3	b	nat	drought	1	3	6		RU005.3.b	12	12.3	3.2	3.46410161513775	2.50959926237837	1.16315080980568	49.1876667	53.2534694	39.36
98	RU005	48	22	6	h	nat	drought	3	4	12		RU005.6.h	9	13.2	4	3	2.58021682959233	1.38629436111989	49.1876667	53.2534694	52.8
99	RU005	46	21	11	c	nat	drought	4	5	12		RU005.11.c	13	11.8	2.3	3.60555127546399	2.46809953147162	0.832909122935104	49.1876667	53.2534694	27.14
100	RU005	37	40	3	c	nat	drought	4	7	16		RU005.3.c	8	7	1.5	2.82842712474619	1.94591014905531	0.405465108108164	49.1876667	53.2534694	10.5
101	RU008	37	9	16	g	nat	drought	3	6	11		RU008.16.g	13	12.5	3	3.60555127546399	2.52572864430826	1.09861228866811	44.05	43.06000278	37.5
102	RU008	19	28	18	j	nat	drought	2	4	10		RU008.18.j	11	13	2.9	3.3166247903554	2.56494935746154	1.06471073699243	44.05	43.06000278	37.7
103	RU008	1	22	21	a	nat	drought	2	4	12		RU008.21.a	12	19.4	3.9	3.46410161513775	2.96527306606928	1.3609765531356	44.05	43.06000278	75.66
104	RU008	46	36	19	f	nat	drought	3	5	12		RU008.19.f	14	15	3.3	3.74165738677394	2.70805020110221	1.19392246847243	44.05	43.06000278	49.5
105	RU008	50	29	16	h	nat	drought	4	6	12		RU008.16.h	12	13.5	3.9	3.46410161513775	2.60268968544438	1.3609765531356	44.05	43.06000278	52.65
