ID	Rack	Pos	PopID	Mom	Indiv	Origin	Treat	MsrDay	MsrDate	LfCount	MaxLfLgth	MaxLfWdth	Bolted	BoltCount	MaxBoltHt	BoltHt1	BoltHt2	BoltHt3	BoltHt4	BoltHt5	BoltHt6	BoltHt7	FlrHeadCount	Notes	HarvestDay	HarvestDate	CrownDiam.mm	ShootMass.g	RootMass.g	BiomassNotes			
GR002.17.f	12	40	GR002	17	f	nat	cont	86	9-Dec-09	16	40.4	5.9	n												85	9-Dec-09	7.97	1.527	0.832				
GR002.2.c	20	26	GR002	2	c	nat	nut def	80	3-Dec-09	20	17.6	3.3	n												80	3-Dec-09	7.96	1.927	3.367				
GR002.2.f	49	12	GR002	2	f	nat	nut def	75	28-Nov-09	4	15.1	4.3	y	1	37.5	37.5							47		77	30-Nov-09	6.64	2.535	2.582				
GR002.2.g	30	20	GR002	2	g	nat	cont	86	9-Dec-09	11	28.2	4.4	n												86	9-Dec-09	6.72	2.485	1.866				
GR002.2.i	44	39	GR002	2	i	nat	cont	84	7-Dec-09	31	23.7	4.6	n												84	7-Dec-09	8.77	2.577	3.54				
GR002.2.j	11	23	GR002	2	j	nat	cut	77	30-Nov-09	0			y	1	39.5	39.5							158		77	30-Nov-09	6.91		1.098				
GR002.25.a	36	14	GR002	25	a	nat	nut def	75	28-Nov-09	12	18	4.2	n												77	30-Nov-09	5.64	1.023	3.543				
GR002.25.d	24	29	GR002	25	d	nat	cont	85	8-Dec-09	17	28.3	5.5	n												85	8-Dec-09	9.82	3.527	3.037				
GR002.25.g	2	14	GR002	25	g	nat	nut def	78	1-Dec-09	11	16.6	3.9	n												78	1-Dec-09	4.34	0.761	2.114				
GR002.25.i	5	19	GR002	25	i	nat	cont	85	8-Dec-09	19	26.8	5.4	n												86	9-Dec-09	8.93	2.839	2.111				
GR002.8.a	33	50	GR002	8	a	nat	cut	76	29-Nov-09	22			y	1	32	32							0		76	29-Nov-09	7.36		1.09				
GR002.8.b	9	49	GR002	8	b	nat	cont	85	8-Dec-09	3	3.9	1	y	3	35	35	2.3	1.5					95	"2.3, 1.5"	85	8-Dec-09	7.77	3.111	0.504				
GR002.8.e	41	47	GR002	8	e	nat	cut	76	29-Nov-09	8			y	1	28.5	28.5							106		76	29-Nov-09	5.19		0.482				
GR002.8.g	26	27	GR002	8	g	nat	nut def	80	3-Dec-09	11	13.5	2.6	n												80	3-Dec-09	6.21	0.826	2.083				
GR002.8.h	6	15	GR002	8	h	nat	cont	86	9-Dec-09	4	13.3	1.9	y	6	24	24	19	12	11	5.0	2.3		174	"19.0, 11.0, 5.0, 12.0, 2.3"	86	9-Dec-09	7.47	4.076	0.504				
GR002.8.j	18	7	GR002	8	j	nat	cont	85	8-Dec-09	8	25.9	4.6	y	1	25	25							0		85	8-Dec-09	9.12	2.921	1.108				
GR003.10.a	9	20	GR003	10	a	nat	cont	85	8-Dec-09	11	26.4	6.1	n												85	8-Dec-09	7.58	2.494	1.063				
GR003.10.b	16	12	GR003	10	b	nat	cut	77	30-Nov-09	14			y	1	37.5	37.5							145		77	30-Nov-09	6.92		0.947				
GR003.10.c	13	30	GR003	10	c	nat	nut def	78	1-Dec-09	12	15.6	4.9	n												78	1-Dec-09	5.95	1.397	2.908				
GR003.10.d	33	30	GR003	10	d	nat	cut	76	29-Nov-09	25			y	1	36	36							3		76	29-Nov-09	7.76		1.348				
GR003.10.e	18	37	GR003	10	e	nat	cont	85	8-Dec-09	0			y	1	42.5	42.5							63		85	8-Dec-09	9.39	4.814	2.785				
GR003.10.g	24	34	GR003	10	g	nat	cont	85	8-Dec-09	1	17.5	1.5	y	1	34.5	34.5							130		85	8-Dec-09	12.41	4.401	0.782				
GR003.10.i	49	16	GR003	10	i	nat	nut def	75	28-Nov-09	10	19.8	4.6	n												77	30-Nov-09	5.5	1.571	3.268				
GR003.12.a	27	2	GR003	12	a	nat	nut def	80	3-Dec-09	13	27.1	3.2	n												80	3-Dec-09	6.33	1.29	1.821				
GR003.12.b	2	16	GR003	12	b	nat	nut def	78	1-Dec-09	15	17.7	4.3	n												78	1-Dec-09	5.44	1.006	1.644				
GR003.12.c	5	25	GR003	12	c	nat	cont	85	8-Dec-09	2	4.1	1	y	2	36.5	36.5	36.4						73	36.4	86	9-Dec-09	7.22	5.217	1.264				
GR003.12.d	10	17	GR003	12	d	nat	cut	76	29-Nov-09	33			n												76	29-Nov-09	8.5		1.247				
GR003.12.e	F2	26	GR003	12	e	nat	flood	71	24-Nov-09	5	14.2	2.6	y	1	39.4	39.4							36		91	14-Dec-09	7.28	4.572	0.91				
GR003.12.h	F1	18	GR003	12	h	nat	flood	71	24-Nov-09	4	16.1	4.4	y	1	39.1	39.1							13		91	14-Dec-09	7.92	3.553	0.368				
GR003.12.i	34	43	GR003	12	i	nat	cont	84	7-Dec-09	18	27.9	5.6	n												84	7-Dec-09	6.2	2.805	0.749				
GR003.12.j	12	1	GR003	12	j	nat	cont	86	9-Dec-09	0			y	1	26	26							80		85	9-Dec-09	6.73	3.73	0.804				
GR003.17.a	29	42	GR003	17	a	nat	cont	85	8-Dec-09	11	14.2	2.4	y	3	41.5	41.5	11.5	7.51					98	"11.5, 7.51"	85	8-Dec-09	8.19	4.496	0.909				
GR003.17.b	41	17	GR003	17	b	nat	cut	76	29-Nov-09	20			n												76	29-Nov-09	6.2		0.63				
GR003.17.c	36	27	GR003	17	c	nat	nut def	77	30-Nov-09	0			y	1	44.5	44.5							36		77	30-Nov-09	4.2	2.347	1.915				
GR003.17.d	40	27	GR003	17	d	nat	cont	84	7-Dec-09	4	14.9	2.5	y	3	40.9	40.9	19	4.5					60	"4.5, 19"	84	7-Dec-09	12.1	5.075	1.141				
GR003.17.e	44	14	GR003	17	e	nat	cont	84	7-Dec-09	11	28.3	5	y	1	16.9	16.9							0		84	7-Dec-09	8.76	3.769	1.855				
GR003.17.h	25	40	GR003	17	h	nat	cont	85	8-Dec-09	20	27.8	4.9	y	1	14	14							0		85	8-Dec-09	9.72	4.13	2.907				
GR003.17.j	F1	44	GR003	17	j	nat	flood	71	24-Nov-09	0			y	1	30.4	30.4							78		91	14-Dec-09	8.36	2.568	0.441				
GR003.3.a	38	23	GR003	3	a	nat	cut	76	29-Nov-09	5			y	5	44.6	44.6	13.5	8	7	3.0			182	"13.5, 7, 8, 3, 44.6"	76	29-Nov-09	6.3		0.732				
GR003.3.e	4	25	GR003	3	e	nat	cut	76	29-Nov-09	22			n												76	29-Nov-09	6.86		1.534				
GR003.3.g	11	14	GR003	3	g	nat	cut	77	30-Nov-09	37			n												77	30-Nov-09	6.66		1.146				
GR003.9.a	6	32	GR003	9	a	nat	cont	86	9-Dec-09	16	30.1	8.4	n												86	9-Dec-09	9.32	3.513	1.726				
GR003.9.c	30	6	GR003	9	c	nat	cont	86	9-Dec-09	16	30	6.9	n												86	9-Dec-09	7.32	3.798	1.973				
GR003.9.f	47	35	GR003	9	f	nat	nut def	80	3-Dec-09	17	23.6	3.7	n												80	3-Dec-09	7.56	1.588	3.307				
