ID	1stWilt	TotWilt	1stYellow	Death	FloatDate	1stBoltDate	BoltMsrDate	Bolt1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	Bolt2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	Bolt3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor
RO004.3.c	2	4		12																
RO004.21.b	4	6		12																
RO004.20.j	4	7		12																
RO004.20.e	4	7		13																
RO004.3.h	4	5		14																
RO004.21.f			6	12																
RO004.12.h			7	11																
RO004.3.d			7	21																
RO004.21.g			6	16																
RO004.12.c			6	19																
RO004.20.c			5	25	24	69									69	1	33.5			
RO004.12.b			6	17																
RO004.21.a																				
RO004.12.a			15																	
RO004.12.f			16																	
RO004.21.j			15																	
RO004.12.i			14																	
RO004.20.i			15			69									69	1	37.5			
RO004.3.a			14																	
RO005.23.j																				
RO005.23.g																				
RO005.23.d																				
RO005.25.l																				
RO005.14.e																				
RO005.15.h																				
RO005.14.d																				
RO005.17.i																				
RO005.23.c																				
RO005.25.d																				
RO005.25.b																				
RO005.23.h																				
RO005.25.h																				
RO005.17.e																				
RO005.14.h			15			32					39	1	20.6		69	1	33.2			
RO005.17.c																				
RO005.25.f			15																	
RO005.15.c																				
RO005.15.i																				
RO005.17.d						69									69	1	27			
RO005.17.k																				
RO005.14.i	4	8		12																
RO005.17.a	5	8		17																
RO005.15.b	3	5		12																
RO005.15.e	6	7		16																
RO005.25.j	3	9		12																
RO005.23.e	3	7		13																
RO005.14.c	3	5		12																
RO005.17.g			8	15																
RO005.17.b			6	12																
RO005.15.d			7	25	19															
RO005.15.g			7	13																
RO005.14.b			5	17	16															
RO005.17.f			6	15	13															
RO005.25.g			6	12																
RO005.14.g			16																	
RO005.25.c			15																	
RO005.14.j			14																	
RO005.14.f			16																	
RO005.15.f			15																	
RO005.23.i			14																	
RO005.14.a			14																	
RU001.10.g																				
RU001.2.i																				
RU001.10.h																				
RU001.6.h																				
RU001.9.d																				
RU001.7.c																				
RU001.6.b																				
RU001.10.f																				
RU001.7.f																				
RU001.9.c																				
RU001.7.h																				
RU001.6.i																				
RU001.6.f																				
RU001.2.a																				
RU001.10.i			15																	
RU001.10.e																				
RU001.2.g																				
RU001.6.j																				
RU001.2.j																				
RU001.2.e	2	4		12																
RU001.2.c	2	4		12																
RU001.7.j	3	7		13																
RU001.6.e	5	6		12																
RU001.10.c	7	10		16																
RU001.10.b	6	7		13																
RU001.7.i			8		18	69									69	1	9.5			
RU001.9.e			8	13																
RU001.6.a			5	18																
RU001.9.f			9																	
RU001.6.c			6	19																
RU001.2.b			5	18																
RU001.2.d			6	19	12															
RU001.10.a			14																	
RU001.7.b			14																	
RU001.9.b			15																	
RU001.7.a			15																	
RU001.7.g			16																	
RU001.6.d			15																	
RU002.1.d																				
RU002.5.c																				
RU002.2.a																				
RU002.6.b																				
RU002.1.f																				
RU002.2.e																				
RU002.5.b	3	6		11																
RU002.2.b	8	11		16																
RU002.1.e	3	4		6																
RU002.5.d			8	18																
RU002.2.c			6	24	24															
RU002.1.a			9	21	19															
RU002.7.b			15																	
RU002.1.c			15																	
RU002.6.a																				
RU003.1.e																				
RU003.7.a																				
RU003.1.a																				
RU003.4.b																				
RU003.3.b																				
RU003.3.d																				
RU003.4.d																				
RU003.7.e																				
RU003.1.d	2	5		12																
RU003.7.d	3	7		13																
RU003.4.e	5	9		12																
RU003.7.f	4	5		12																
RU003.3.e			6	20	19															
RU003.1.f			9	14	12															
RU003.4.c			6	9																
RU003.1.c			14																	
RU003.7.b			14																	
RU003.4.a			15																	
