Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log
US014.16.k	13	32	US014	16	k	inv	nut def	US014.16.k	78	15	16.2	4.1	n	78	5.22	1.528	5.996	14	16.7	3.5	y	NA	9	13	4.2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.56494935746154	1.43508452528932	3.74165738677394	2.81540871942271	1.25276296849537	3.87298334620742	2.78501124223834	1.41098697371026	1.65249740189455	0.423959690744329	1.79109258024035
BG001.25.i	13	34	BG001	25	i	nat	nut def	BG001.25.i	78	11	13.3	3.2	n	78	6.54	1.114	3.439	16	17.4	5.6	y	NA	10	14.2	3.6	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.65324196460721	1.28093384546206	4	2.85647020622048	1.7227665977411	3.3166247903554	2.58776403522771	1.16315080980568	1.87793716546911	0.107957141505092	1.23518073145013
RU001.7.b	13	35	RU001	7	b	nat	nut def	RU001.7.b	78	18	18.6	3.6	n	78	5.62	1.459	2.656	15	19.4	4.6	y	NA	11	13.4	3.5	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.59525470695687	1.25276296849537	3.87298334620742	2.96527306606928	1.52605630349505	4.24264068711928	2.92316158071916	1.28093384546206	1.7263316639056	0.377751269540649	0.976821231614187
US002.17.b	13	37	US002	17	b	inv	nut def	US002.17.b	78	16	15.2	5.1	n	78	6.42	1.699	5.493	15	15.6	4.4	y	NA	10	12.5	4.2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.52572864430826	1.43508452528932	3.87298334620742	2.74727091425549	1.48160454092422	4	2.72129542785223	1.62924053973028	1.85941811770187	0.530039842689795	1.70347455436048
UA004.15.c	13	38	UA004	15	c	nat	nut def	UA004.15.c	78	17	20.5	4.6	n	78	5.82	1.394	5.395	18	21.7	3.6	y	NA	15	14.5	2.1	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.87298334620742	2.67414864942653	0.741937344729377	4.24264068711928	3.07731226054641	1.28093384546206	4.12310562561766	3.02042488614436	1.52605630349505	1.76130026174335	0.332177312338332	1.6854725987101
HU001.5.h	13	41	HU001	5	h	nat	nut def	HU001.5.h	78	14	12.8	3.5	n	78	4.54	0.545	2.689	12	13	2.5	y	NA	6	8.8	1.4	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.44948974278318	2.17475172148416	0.336472236621213	3.46410161513775	2.56494935746154	0.916290731874155	3.74165738677394	2.54944517092557	1.25276296849537	1.51292701205326	-0.606969484318893	0.989169377286728
GR001.26.e	13	43	GR001	26	e	nat	nut def	GR001.26.e	78	20	16.5	5	n	78	5.25	1.133	4.552	17	16.2	4.3	y	NA	10	13.8	3.6	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.62466859216316	1.28093384546206	4.12310562561766	2.78501124223834	1.45861502269952	4.47213595499958	2.80336038090653	1.6094379124341	1.65822807660353	0.124868982045869	1.51556669682403
CA008.2.a	13	44	CA008	2	a	inv	nut def	CA008.2.a	78	19	12.1	3.2	n	78	6.11	1.071	3.741	19	12.4	3.8	y	NA	14	11.8	2.7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.74165738677394	2.46809953147162	0.993251773010283	4.35889894354067	2.51769647261099	1.33500106673234	4.35889894354067	2.4932054526027	1.16315080980568	1.8099267731835	0.0685927914656117	1.31935295536601
CA007.1.a	13	46	CA007	1	a	inv	nut def	CA007.1.a	78	19	13.9	4.8	n	78	6.58	1.779	2.897	18	14.4	3.2	y	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	4.24264068711928	2.66722820658195	1.16315080980568	4.35889894354067	2.63188884013665	1.56861591791385	1.88403474533723	0.576051408683698	1.06367571878721
US003.28.j	13	48	US003	28	j	inv	nut def	US003.28.j	78	17	16.1	5.2	n	78	5.98	1.278	8.121	13	17.4	4	y	NA	11	17	3.9	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.83321334405622	1.3609765531356	3.60555127546399	2.85647020622048	1.38629436111989	4.12310562561766	2.77881927199042	1.64865862558738	1.78842056796254	0.245296355955343	2.09445329930027
RU005.6.b	13	49	RU005	6	b	nat	nut def	RU005.6.b	78	12	16.1	3	n	78	5.53	1.287	2.348	16	15	4	y	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	4	2.70805020110221	1.38629436111989	3.46410161513775	2.77881927199042	1.09861228866811	1.71018781553424	0.25231392861399	0.85356390196585
