Rack	Pos	PopID	Mom	Indiv	Origin	LfCount1	LfLgth1	LfWdth1	ID	LfLgth1.log	LfWdth1.log	LfCount1.sq
CA001.3.g	5	6	CA001	3	g	inv	11	11.9	3.4	CA001.3.g	2.47653840011748	1.22377543162212	3.3166247903554
CA007.3.a	5	7	CA007	3	a	inv	8	15.4	2.6	CA007.3.a	2.73436750941958	0.955511445027436	2.82842712474619
UA008.13.a	5	8	UA008	13	a	nat	8	9.3	1.9	UA008.13.a	2.23001440015921	0.641853886172395	2.82842712474619
RO001.21.i	5	9	RO001	21	i	nat	9	11.6	2.7	RO001.21.i	2.45100509811232	0.993251773010283	3
TR005.20.h	5	11	TR005	20	h	nat	10	11.6	2.7	TR005.20.h	2.45100509811232	0.993251773010283	3.16227766016838
UA002.13.d	5	12	UA002	13	d	nat	9	11.1	2.5	UA002.13.d	2.40694510831829	0.916290731874155	3
US012.31.d	5	13	US012	31	d	inv	7	10.6	2.2	US012.31.d	2.36085400111802	0.78845736036427	2.64575131106459
TR004.27.d	5	14	TR004	27	d	nat	6	12.9	3.6	TR004.27.d	2.55722731136763	1.28093384546206	2.44948974278318
US014.17.g	5	15	US014	17	g	inv	6	8.7	1.7	US014.17.g	2.16332302566054	0.53062825106217	2.44948974278318
GR001.24.b	5	17	GR001	24	b	nat	3	9.5	0.9	GR001.24.b	2.2512917986065	-0.105360515657826	1.73205080756888
GR002.25.i	5	19	GR002	25	i	nat	12	12.7	1.4	GR002.25.i	2.54160199346455	0.336472236621213	3.46410161513775
RU008.16.f	5	22	RU008	16	f	nat	15	13.8	3.7	RU008.16.f	2.62466859216316	1.30833281965018	3.87298334620742
RU004.5.a	5	23	RU004	5	a	nat	9	11.2	2.9	RU004.5.a	2.41591377830105	1.06471073699243	3
GR003.12.c	5	25	GR003	12	c	nat	7	14.1	2.9	GR003.12.c	2.64617479738412	1.06471073699243	2.64575131106459
TR001.10.e	5	27	TR001	10	e	nat	8	16.2	2.5	TR001.10.e	2.78501124223834	0.916290731874155	2.82842712474619
RO005.23.j	5	28	RO005	23	j	nat	12	15	2.9	RO005.23.j	2.70805020110221	1.06471073699243	3.46410161513775
RO003.15.c	5	29	RO003	15	c	nat	10	11.5	1.6	RO003.15.c	2.4423470353692	0.470003629245736	3.16227766016838
UA005.18.c	5	31	UA005	18	c	nat	10	15.7	2.4	UA005.18.c	2.75366071235426	0.8754687373539	3.16227766016838
US020.42.a	5	32	US020	42	a	inv	10	14.2	1.8	US020.42.a	2.65324196460721	0.587786664902119	3.16227766016838
UA003.8.h	5	33	UA003	8	h	nat	12	17.1	2.5	UA003.8.h	2.83907846350861	0.916290731874155	3.46410161513775
US022.31.b	5	34	US022	31	b	inv	8	16.1	4	US022.31.b	2.77881927199042	1.38629436111989	2.82842712474619
CA008.5.j	5	35	CA008	5	j	inv	11	14	2.8	CA008.5.j	2.63905732961526	1.02961941718116	3.3166247903554
RU001.10.g	5	38	RU001	10	g	nat	6	15.5	1.9	RU001.10.g	2.7408400239252	0.641853886172395	2.44948974278318
RO004.12.j	5	39	RO004	12	j	nat	13	13.9	2.1	RO004.12.j	2.63188884013665	0.741937344729377	3.60555127546399
BG001.16.f	5	40	BG001	16	f	nat	10	13.2	2.7	BG001.16.f	2.58021682959233	0.993251773010283	3.16227766016838
US002.17.i	5	41	US002	17	i	inv	12	10.7	3	US002.17.i	2.37024374146786	1.09861228866811	3.46410161513775
UA004.27.j	5	42	UA004	27	j	nat	15	13.5	3.1	UA004.27.j	2.60268968544438	1.1314021114911	3.87298334620742
RO002.12.c	5	43	RO002	12	c	nat	9	14.1	4.1	RO002.12.c	2.64617479738412	1.41098697371026	3
UA001.11.g	5	44	UA001	11	g	nat	9	11.2	2.2	UA001.11.g	2.41591377830105	0.78845736036427	3
US001.20.b	5	45	US001	20	b	inv	9	10.5	3.4	US001.20.b	2.35137525716348	1.22377543162212	3
