PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	lxwH	lxwH.log	Latitude	Longitude	bolt.bin
22	CA008	27	20	4	c	inv	nut def	CA008.4.c	80	18	18.5	5.7	n	82	4.95	1.743	2.503	15	18.1	6.7	y	NA	14	14.6	2.5	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.74165738677394	2.68102152871429	0.916290731874155	3.87298334620742	2.89591193827178	1.90210752639692	4.24264068711928	2.91777073208428	1.7404661748405	1.5993875765806	0.555607766537884	0.917490012449637	105.45	4.65823690692478	49.0120833333333	-118.645711111111	0
23	CA008	36	24	4	j	inv	nut def	CA008.4.j	77	16	21.5	6.1	n	77	7.33	1.64	3.11	15	21.1	5.2	y	NA	11	17.5	6	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.86220088092947	1.79175946922805	3.87298334620742	3.04927304048202	1.64865862558738	4	3.06805293513362	1.80828877117927	1.99197551589856	0.494696241836107	1.13462272619114	131.15	4.87634170631288	49.0120833333333	-118.645711111111	0
24	CA008	13	44	2	a	inv	nut def	CA008.2.a	78	19	12.1	3.2	n	78	6.11	1.071	3.741	19	12.4	3.8	y	NA	14	11.8	2.7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.74165738677394	2.46809953147162	0.993251773010283	4.35889894354067	2.51769647261099	1.33500106673234	4.35889894354067	2.4932054526027	1.16315080980568	1.8099267731835	0.0685927914656117	1.31935295536601	38.72	3.65635626240838	49.0120833333333	-118.645711111111	0
25	CA008	49	20	2	c	inv	nut def	CA008.2.c	75	15	22.1	4.4	n	77	5.43	1.647	3.257	15	21.9	3.3	n	NA	12	16.8	2.1	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.82137888640921	0.741937344729377	3.87298334620742	3.08648663682246	1.19392246847243	3.87298334620742	3.09557760852371	1.48160454092422	1.69193913394584	0.498955451195503	1.1808065262941	97.24	4.57718214944792	49.0120833333333	-118.645711111111	0
26	GR001	2	32	6	c	nat	nut def	GR001.6.c	78	8	17.2	7.2	y	78	7.13	3.269	5.618	10	17	4.7	y	2	9	15.1	5.3	14	18	18	1	2	38	1	26	69	1	28	69	white	3	2.71469474382088	1.66770682055808	3.16227766016838	2.83321334405622	1.54756250871601	2.82842712474619	2.84490938381941	1.97408102602201	1.9643112344262	1.18448412774207	1.72597572868205	123.84	4.81899040984142	40.1566666666667	22.5480555555556	1
27	GR001	47	32	28	i	nat	nut def	GR001.28.i	80	15	19.7	4.2	n	80	5.74	1.169	3.701	11	19.4	5.2	y	NA	8	16.2	3.7	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.82842712474619	2.78501124223834	1.30833281965018	3.3166247903554	2.96527306606928	1.64865862558738	3.87298334620742	2.98061863574394	1.43508452528932	1.74745921033147	0.156148682489931	1.30860305340402	82.74	4.41570316103327	40.1566666666667	22.5480555555556	0
28	GR001	27	32	6	f	nat	nut def	GR001.6.f	80	11	16.6	4.3	n	82	5.1	1.233	3.352	8	16.6	5.2	y	NA	8	15	3.5	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.82842712474619	2.70805020110221	1.25276296849537	2.82842712474619	2.8094026953625	1.64865862558738	3.3166247903554	2.8094026953625	1.45861502269952	1.62924053973028	0.209450224182207	1.20955718261984	71.38	4.26801771806201	40.1566666666667	22.5480555555556	0
29	GR001	13	43	26	e	nat	nut def	GR001.26.e	78	20	16.5	5	n	78	5.25	1.133	4.552	17	16.2	4.3	y	NA	10	13.8	3.6	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.62466859216316	1.28093384546206	4.12310562561766	2.78501124223834	1.45861502269952	4.47213595499958	2.80336038090653	1.6094379124341	1.65822807660353	0.124868982045869	1.51556669682403	82.5	4.41279829334063	40.1566666666667	22.5480555555556	0
30	GR001	20	6	26	i	nat	nut def	GR001.26.i	80	19	15.5	3.2	n	90	4.62	0.885	1.532	17	14.2	2.8	n	NA	6	12.3	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		2.44948974278318	2.50959926237837	0.336472236621213	4.12310562561766	2.65324196460721	1.02961941718116	4.35889894354067	2.7408400239252	1.16315080980568	1.53039470509365	-0.122167633974208	0.4265740713184	49.6	3.90399083373088	40.1566666666667	22.5480555555556	0
31	GR001	26	21	28	f	nat	nut def	GR001.28.f	80	16	18.3	5.6	n	80	5.67	1.23	4.968	13	18.4	4.2	y	NA	9	13.2	3.7	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.58021682959233	1.30833281965018	3.60555127546399	2.91235066461494	1.43508452528932	4	2.90690105984738	1.7227665977411	1.73518911773966	0.207014169384326	1.60301734463118	102.48	4.62966765758848	40.1566666666667	22.5480555555556	0
