PopID	Pos	Mom	Indiv	Origin	Rack	Trt	ID	FRack	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	Latitude	Longitude
28	GR002	9	13	e	nat	45	flood	GR002.13.e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	19	13	FLOAT-13	NA	NA	NA	NA	NA	NA	NA	NA		8	14.7	2.7	2.82842712474619	2.68784749378469	0.993251773010283	NA	NA	NA	NA	NA	NA	40.6213888888889	23.0786111111111
29	GR002	3	25	b	nat	14	flood	GR002.25.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	15	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		10	15.8	3	3.16227766016838	2.76000994003292	1.09861228866811	NA	NA	NA	NA	NA	NA	40.6213888888889	23.0786111111111
30	GR002	32	17	b	nat	35	flood	GR002.17.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	18	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		10	16	3.5	3.16227766016838	2.77258872223978	1.25276296849537	NA	NA	NA	NA	NA	NA	40.6213888888889	23.0786111111111
31	GR002	5	25	j	nat	43	flood	GR002.25.j	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	18	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		11	17.5	3.1	3.3166247903554	2.86220088092947	1.1314021114911	NA	NA	NA	NA	NA	NA	40.6213888888889	23.0786111111111
32	GR002	49	25	h	nat	3	flood	GR002.25.h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	12	12	Floating Free	NA	NA	NA	NA	NA	NA	NA	NA		8	9.4	1.3	2.82842712474619	2.24070968927596	0.262364264467491	NA	NA	NA	NA	NA	NA	40.6213888888889	23.0786111111111
33	GR002	44	13	g	nat	23	flood	GR002.13.g	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	17	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		9	10.4	2.2	3	2.34180580614733	0.78845736036427	NA	NA	NA	NA	NA	NA	40.6213888888889	23.0786111111111
34	GR003	45	3	b	nat	39	flood	GR003.3.b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	18	NA	ALB	NA	NA	NA	NA	NA	NA	NA	NA		9	13.5	2.5	3	2.60268968544438	0.916290731874155	NA	NA	NA	NA	NA	NA	40.8508333333333	25.7930555555556
35	GR003	4	12	e	nat	43	flood	GR003.12.e	F2	71	5	14.2	2.6	y	91	7.28	4.572	0.91	7	NA	NA	F2-26	50	NA	NA	NA	69	1	39	NA	NA	6	13.8	2	2.44948974278318	2.62466859216316	0.693147180559945	2.23606797749979	2.65324196460721	0.955511445027436	1.98513086220859	1.51995074593256	-0.0943106794712413	40.8508333333333	25.7930555555556
36	GR003	50	3	m	nat	3	flood	GR003.3.m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	24	NA		NA	NA	NA	NA	NA	NA	NA	NA		11	16.4	3.7	3.3166247903554	2.79728133483015	1.30833281965018	NA	NA	NA	NA	NA	NA	40.8508333333333	25.7930555555556
37	GR003	18	12	h	nat	45	flood	GR003.12.h	F1	71	4	16.1	4.4	y	91	7.92	3.553	0.368	7	NA	NA	F1-18	50	NA	NA	NA	69	1	33.5	NA		7	14.6	1.8	2.64575131106459	2.68102152871429	0.587786664902119	2	2.77881927199042	1.48160454092422	2.06939120582633	1.26779231703889	-0.999672340813206	40.8508333333333	25.7930555555556
