ID	LfCount2	MaxLfLgth2	MaxLfWdth2	LfYellow	BoltHtm2
TR004.2.b	11			n	
BG001.25.e	16			n	
GR001.26.c	14			n	
UA004.5.a	18			n	
GR003.12.j	12	24.1	3.4	n	
UA006.22.a	14	29	6.1	y	
TR001.1.d	16	27.1	5.7	y	
RO004.13.a	17	21.6	4.1	y	
UA001.25.c	19	21.7	4.8	y	
BG001.16.b	15	19.6	4.1	y	
TR005.18.h	11	29.5	7.7	y	
UA005.18.d	16	31.7	6.9	y	
US011.8.k	13	24.5	4.3	n	
UA003.9A.d	13	31	10.2	y	
RO003.21.b	15	22.4	4.6	y	
US014.4.d	9	26	4.1	y	
RO001.12.a	13	21.2	5.7	y	
US015.15.e	12	26.4	6.6	n	
TR004.27.b	15	17	4.6	y	
US001.20.j	14	22.4	4.4	y	
GR001.28.b	8	18.3	2.6	y	
UA004.27.h	16	15.5	3.7	y	
CA001.7.i	14	21	4.9	y	
US002.5.c	15	25.2	4.4	n	
US023.34.k	16	23.3	7.1	y	
RU001.9.d	16	20.4	6.6	y	
RU008.18.d	11	22.4	6.8	n	
TR003.14.b	19	18.1	2.7	y	
HU001.5.a	9	22.9	3.6	y	
RU005.11.a	56	20	3.1	y	
GR002.17.f	13	26.4	3.4	n	
US012.28.b	9	21.2	5.6	n	
US003.19.a	15	21	5	n	
RO005.14.e	17	19.3	4.6	y	
CA008.2.b	18	24.2	5.5	y	
US022.17.a	17	21	4.6	y	
RO002.15.c	13	13.3	4.4	y	
RU002.1.d	22	22	3.7	y	
TR003.24.f	17	10.3	2	y	
TR001.10.c	13	19.5	4.3	y	
RO002.12.d	12	15.9	3.6	y	
CA001.4.c	16	14.1	4.5	y	
TR005.18.f	8	13.1	3.1	y	
UA002.15.c	10	17.3	3.5	y	
US015.13.k	15	15.6	4.8	y	
TR004.8.h	13	18.5	4.6	y	
RO001.6.b	16	18.1	4.8	y	
UA003.6.e	9	21.7	5	y	
RU002.7.b	16	20.8	4.9	y	
RO004.12.a	15	18.9	3.4	y	
RO003.9.j	14	17.6	3.6	y	
UA001.25.h	18	17.8	5.6	y	
RU008.16.i	10	16	3.9	y	
RO005.25.c	16	16.8	2.9	y	
RU005.6.f	16	23.5	4.3	y	
US001.3.a	11	24.9	5.2	y	
US021.8.k	16	16.5	5.6	y	
US023.41.e	14	20.7	5.7	y	
GR003.10.c	9	19.8	5.3	y	
US011.8.a	12	17.4	4.6	y	
US014.16.k	14	16.7	3.5	y	
BG001.25.i	16	17.4	5.6	y	
RU001.7.b	15	19.4	4.6	y	
US002.17.b	15	15.6	4.4	y	
UA004.15.c	18	21.7	3.6	y	
HU001.5.h	12	13	2.5	y	
GR001.26.e	17	16.2	4.3	y	
CA008.2.a	19	12.4	3.8	y	
CA007.1.a	18	14.4	3.2	y	
US003.28.j	13	17.4	4	y	
RU005.6.b	16	15	4	y	
GR002.17.c	19	15.9	2	y	
GR001.28.h	14			n	
RO004.13.b	15			y	
TR003.24.b	13			n	
RO001.6.j	16			y	
BG001.25.h	21			n	
UA001.25.f	21			n	
GR003.10.b	11			y	33.3
RO002.12.o	18			y	
US011.8.g	21			y	
TR001.24.i	16			n	
UA004.18.b	19			y	
RU004.8.a	17			n	
CA001.3.j	20			y	
RU003.3.b	18			n	
US003.19.e	17			n	
TR005.18.a	11			y	
UA006.22.b	14			y	
US021.8.d	14			n	
US001.14.a	20			y	
CA008.2.d	17			n	
RO003.9.f	18			n	
RU001.10.e	14			y	
US002.17.c	26			y	
HU001.14.h	17			n	
US020.42.b	15			n	
UA005.18.e	20			n	
RU008.18.c	17			n	
RO005.15.c	18			y	
US014.16.c	17			n	
US015.3.a	17			n	
UA003.6.j	14			n	
TR004.18.g	11			n	
US023.34.a	15			y	
UA005.15.c	16	19.1	4.5	n	
UA001.18.f	16	19.3	4.1	n	
US003.27.j	14	28.7	8	y	
GR002.8.j	18	23.5	4.1	n	
UA004.5.e	27	30.5	6.4	y	
RO004.20.g	23	21.5	3.5	n	
CA001.2.b	19	17.3	3.9	y	
