ID	LfCount1	MaxLfLgth1	MaxLfWdth1
US020.27.a	17	13.1	3.6
RO004.12.f	14	14.7	1.9
RU003.1.c	11	16.1	4.3
UA002.15.a	9	14.7	4.5
UA008.13.b	8	12.2	2.7
US003.19.h	10	10.3	2.9
RU004.6.c	12	10.5	2.4
HU001.5.l	9	15.7	3.7
US002.5.f	14	13.4	2.1
GR003.12.a	8	14.7	2
BG001.17.g	14	13.2	2.4
TR001.1.b	10	14.6	3
US003.20.i	10	15	2
RO004.21.j	10	13.3	2.3
US015.17.b	10	15	3.9
RO005.14.f	9	17.2	3.1
UA005.18.i	9	16.2	3.4
TR004.27.a	5	13	3
CA001.7.e	11	13.9	4
US022.17.d	12	13.2	2.5
RU003.7.b	12	15.4	3.5
CA008.4.c	14	14.6	2.5
US014.22.c	6	15.3	3
US001.3.f	14	15.8	4.4
RU005.6.b	12	12.8	2.5
RU001.7.a	9	11.5	1.9
GR002.13.d	9	13.1	3.3
US012.35.f	4	9.6	0.7
GR001.6.f	8	15	3.5
RO003.11.b	8	11.8	4.1
RU008.17.i	11	13.5	2.4
UA004.27.f	14	15.5	2.2
UA008.18.b	8	13.1	3.7
UA003.6.g	10	14.6	3.1
RO002.18.c	9	11.6	1.7
RO001.21.h	10	12.6	3.1
UA002.15.g	9	14.9	3
UA001.18.b	11	12.1	2.5
HU001.14.c	13	11.5	4.2
RO004.3.g	13	14	2.6
US002.22.e	13	17.6	4.2
UA008.18.e	6	12.1	2.6
CA001.7.g	12	15.9	4.8
TR003.24.h	4	5.7	1.2
UA003.11A.j	11	15.5	4.6
HU001.28.f	12	14.9	3.9
GR002.8.d	9	14.5	3.7
UA004.5.g	14	14.2	3.8
US020.24.a	16	14.2	4.2
TR001.19.e	8	17.6	4.1
US001.14.g	12	14.2	2.2
RU002.6.b	13	15.5	4.3
CA008.6.e	12	12.3	2.2
TR004.18.h	10	16.3	3.9
RO002.12.h	9	14.2	4.2
RO003.21.h	9	13.7	2.2
RU005.5.b	18	10.2	2.8
US015.3.b	14	11.1	3.7
GR001.26.d	8	14.4	1.8
US003.20.c	12	15.2	3.3
RU008.21.j	13	12.3	2.3
RO005.23.a	15	13.5	3.9
US012.31.i	6	8	1.7
GR003.9.d	11	15	3.4
RU001.7.d	10	12.7	3.1
BG001.22.a	12	9.1	2.9
RO001.28.h	11	11.7	2.9
TR003.2.b	5	10.5	2.1
TR004.18.a	12	11	3
RO001.28.a	11	14.1	2.1
UA002.18.c	12	16.1	2.3
US014.16.i	15	14.8	3.9
RU008.16.b	15	13.8	4.9
US011.8.c	11	11.9	3.2
US003.27.g	9	20.1	3.2
CA001.4.a	12	15.4	4.3
RU003.4.b	13	14.1	1.9
TR001.19.h	8	15.9	3.7
TR005.20.c	8	8.3	1.5
HU001.28.m	13	13.6	2.3
UA006.14.g	12	14.4	3.5
BG001.17.f	13	13.9	2.4
US001.22.c	14	15	2.9
GR002.13.a	9	18.4	3
UA008.13.h	5	17.2	2.6
RO002.13.g	10	12	2.3
UA005.7.f	13	17.2	2.3
RO005.25.d	8	12	2.3
UA003.11A.h	15	12.2	2.6
GR003.17.a	8	18.7	3.7
UA004.27.b	14	14.1	2.7
US022.31.c	13	14.1	1.8
RO004.13.g	11	16.1	2.6
RO003.4.i	15	11.6	3.5
RU001.7.f	10	13.5	2.6
US002.1.j	13	13.3	2.6
TR004.8.g	11	14.6	2.6
GR001.24.f	7	10.2	2.9
RO001.6.e	11	14.6	5.2
GR003.9.c	10	15.4	2.7
TR005.20.g	10	12.3	3.3
RU001.9.c	11	15.1	2.5
RO002.12.b	9	12.3	1.6
US001.20.h	13	15.3	3.6
US021.3.b	12	15.5	4.3
HU001.24.i	9	18.7	3.4
UA004.15.b	14	12.6	2.8
GR002.2.g	12	15.2	3.7
RO005.25.b	9	10.4	3.1
BG001.22.f	17	13.2	2.8
RU008.21.g	14	16.3	3.8
RO004.13.i	13	17.2	4.6
RO003.11.g	9	14.2	2.5
US022.23.f	10	9.2	2
RU002.2.a	12	15.3	3.3
US015.13.f	10	12.9	3.6
US003.6.a	10	16.5	2.9
UA001.22.g	11	17.3	4.3
CA008.6.a	8	11	3.7
CA001.4.g	10	13.8	3.3
TR001.10.b	10	15.9	3.7
US002.1.b	13	13.7	3.4
UA003.11A.g	12	16.1	4.1
US014.17.b	9	13.9	3.7
TR003.14.f	7	13.5	2.7
RU001.2.f	14	17.7	2.5
BG001.25.c	12	15.9	2.1
UA002.18.g	12	16.5	4.1
GR002.25.f	10	14.1	3
US003.20.e	13	18.8	3.5
RU002.2.e	13	17.2	3.3
UA005.3.d	5	20.2	3.1
UA003.7A.h	12	18.5	3.3
RO002.15.e	9	13.7	3.2
GR003.17.i	9	15.1	4
TR004.14.b	8	13.2	3.1
RU005.5.e	12	11	3.5
RU008.16.d	13	14.5	3.5
TR001.19.j	10	19.5	3.6
US001.23.h	12	17.2	3.7
CA001.3.i	12	17.6	4.5
RO004.20.a	13	13.6	3.7
US002.1.f	13	14.2	4.5
GR001.24.g	5	13.5	1.6
RO005.23.f	7	16.6	2.5
RO001.6.i	11	14.4	2.6
UA008.25.a	6	13.7	3
RU003.1.b	15	14.8	3.1
US014.22.d	9	14.5	2.6
US022.41.f	6	10.3	2.2
RO003.4.g	11	11	2.5
HU001.5.e	8	13.6	2.7
US015.13.e	3	8.1	1.1
UA004.27.i	12	11.2	1.6
UA008.25.h	5	10.3	1.4
CA001.4.d	14	15.5	3.7
US002.1.h	12	15.1	3.9
UA004.18.a	11	14.2	4.2
RU002.1.d	12	10.4	2.6
US022.42.e	9	13.4	3.8
HU001.14.i	12	15	4.8
UA003.9A.i	9	16.4	2.9
GR001.28.j	9	14.3	3.7
BG001.25.g	13	13.9	4.1
RU008.19.e	14	16.5	4.7
US012.28.e	6	16.1	1.9
RU005.5.d	14	11	2.5
CA008.5.l	9	12.8	2.5
TR004.14.c	9	16.4	3.7
RO001.13.a	9	15.7	3.3
US015.17.c	11	15.8	4.2
RO005.25.a	7	14	2.2
US001.3.d	10	15.2	5.2
RU001.9.a	12	13.5	3.8
GR003.3.d	12	12.2	3.4
TR001.1.i	8	16.4	3.2
RO003.15.k	5	9.5	1.7
RU003.3.a	13	12.7	2.4
RO004.21.d	13	16.7	2.9
US003.6.g	8	15.4	3.6
RO002.12.m	8	9.5	1.4
GR002.2.a	12	14.9	4.2
RU002.1.f	14	18.6	4.3
RO005.15.i	8	14.5	2.4
GR001.14.i	9	12.3	2.9
TR004.14.i	11	14.1	3.4
RU008.19.b	12	14.5	3.5
RU001.2.g	14	13.7	3.3
CA001.6.a	10	17.6	4.6
BG001.25.f	12	15.2	3.5
US014.16.f	9	14	2.3
US001.22.h	12	14.6	3.8
UA005.15.e	9	10.5	3
US026.35.a	4	10	1.5
TR001.12.c	12	20.5	2.8
RO003.9.d	11	12.2	2.3
RU003.3.d	12	13.4	2.1
RU004.6.b	11	15	2.5
RO001.13.i	9	15.8	3.1
UA003.7A.e	9	14.8	2.9
UA004.27.g	14	13.6	2.1
GR003.10.d	8	13.2	3.2
RO002.12.g	8	13.4	2.1
RO004.13.h	13	13.5	2.1
TR003.6.a	6	14.4	1.1
US002.22.a	13	16.9	3.1
HU001.14.d	13	10	4.6
US003.20.g	11	15.6	3.6
CA008.4.b	10	13.5	3.4
GR002.8.a	11	12.1	3.1
US003.27.b	11	13	3.5
UA005.7.d	9	13.5	3.5
RU008.21.e	10	20.5	3.5
TR003.24.c	7	12.5	3
UA003.8.j	9	18	3.5
US002.22.d	13	16.5	4
TR001.12.f	10	19	4
US015.3.e	10	17.5	3.5
UA004.7.h	15	20.5	4.5
GR001.28.g	6	15	4.5
UA006.14.d	11	12.5	3
UA001.11.f	11	13	3.5
UA008.13.g	8	17.5	3
RO005.23.h	8	16	4
US022.23.h	7	14.5	3
GR002.13.b	7	14	3
RO001.28.c	11	15.5	4
RU001.7.h	11	12	3.5
BG001.17.e	10	13	4.5
HU001.14.b	10	14.5	4
RO003.9.i	9	14	3
CA001.6.e	11	18	5
GR003.12.i	5	17	3.5
US023.41.d	10	20	5
RO002.15.i	11	13.5	4.5
RU004.5.c	6	15	4
RO004.21.c	12	15	4.5
US001.14.j	13	14	4.5
CA008.6.i	8	10	1.5
RU003.1.f	4	9	1
HU001.13.f	9	17	4
RU007.20.c	6	13	5
TR003.24.d	5	8	2
US014.16.b	11	17	4.5
RU008.16.e	16	13	3.5
RO004.21.g	10	11	2.5
US001.23.f	13	16	4
RO001.12.f	8	12	2.5
US015.3.h	8	13.5	4
RO002.22.c	10	14.5	3.5
TR005.20.i	9	16.5	4.5
RO003.9.a	9	16.5	4
UA008.13.e	3	12	2.5
RU001.9.f	6	9.5	2.5
UA001.22.e	11	16	4.5
US002.17.e	11	15	4
BG001.16.g	11	17	4.5
CA001.3.h	10	19	5.6
US003.19.c	18	14	4
GR002.17.b	10	16	3.5
RO005.15.g	9	16.5	4.5
TR004.14.a	9	15	4.5
US012.29.e	8	14	3
UA006.24.b	10	18.5	4
UA004.5.c	10	13	4.5
GR003.17.j	15	4	10
UA003.7A.f	10	5	3
GR001.6.g	4	12.5	2.5
US011.12.e	8	14.3	3.5
TR001.1.e	11	15	4.5
RO002.22.a	10	13	4.5
US003.6.b	7	17.5	5
TR005.18.g	9	14	4.5
US014.20.b	8	15	4.5
UA008.13.j	8	16.5	4.5
UA004.5.d	13	14	5
RU008.19.i	15	15.7	4.5
US020.42.d	7	14.5	4.5
CA001.3.a	14	15.5	5
BG001.17.b	11	13	3.5
GR002.25.a	12	12.5	3
HU001.5.c	14	17.3	4.5
RO001.21.g	8	18	5.5
US026.15.a	7	17	3
RO005.15.f	11	16.9	3.5
US018.5.a	10	17	5.4
CA008.4.j	11	17.5	6
TR004.14.j	6	14.5	2.5
UA003.11A.i	5	12	3
GR003.17.c	9	15.7	3.8
US002.22.h	14	15	4
RO004.12.i	13	16	3
US015.17.f	11	14.7	5.5
US001.22.b	10	16	5
UA005.7.i	11	18	5.5
GR001.6.d	9	19	6
RU001.7.g	12	11.6	4
UA007.19.d	6	10	2.5
UA006.14.c	11	15	4
RU004.6.d	11	15.6	4
RO003.11.c	10	13	3.5
TR001.10.d	11	18.4	5
US022.17.c	14	18.4	4
TR003.24.e	10	12.1	3.5
RU005.7.f	8	14.8	3.5
RO004.21.b	11	13	3
RO003.9.b	10	17	4
RU007.6.a	9	16.5	4
US015.17.l	5	12.5	4
GR001.14.j	7	15.5	3
RU008.16.g	13	12.5	3
HU001.24.e	10	20.5	2
US001.14.e	11	13.5	4
UA008.13.f	7	11	3.5
RO002.12.k	7	10.5	2
RO005.15.e	7	12	1.5
CA008.5.e	12	15	4.5
TR004.18.c	8	13.5	4
US014.16.n	8	12	2.5
US003.27.i	13	13	3
RU003.7.d	15	13	3
GR002.25.c	7	18	2
RO001.6.f	12	20	3.5
UA002.14.c	9	16	4.5
TR001.12.j	12	18	4.5
US022.42.j	9	16.5	3
TR005.18.k	7	8.5	1
CA001.2.g	9	15.5	4
BG001.22.e	13	12	1
TR003.15.a	7	18.5	4.5
UA004.27.a	13	15.5	3.5
RU005.3.c	8	7	1.5
GR003.9.b	10	12	2
RU001.7.j	9	11	2
UA003.6.a	11	11.5	2
UA005.18.f	12	18.5	3
US013.4.g			
US021.3.j			
US002.24.a	13	13	3.5
TR001.12.a	11	16	4.5
CA001.4.j	10	13.5	4
UA003.9A.f	12	15	5.5
GR002.13.j	8	5	4.4
RO003.11.f	10	14.6	3.6
UA005.7.e	12	19	5.5
TR004.8.i	7	15.5	3
UA001.11.a	13	16.5	4
US022.17.h	13	19.7	6
BG001.29.g	13	15	4
GR001.26.g	8	17	3.8
RO005.17.d	10	14.9	4.5
GR003.3.a	9	13	3.5
US012.29.a	8	18.5	6
UA006.10.d	8	18.3	5
RU008.21.i	15	18	4
RU003.4.d	12	14.5	3.5
RU005.6.d	13	17	4
US003.28.d	11	20	4
RO004.21.e	12	13.1	4
RU001.6.j	11	15	3.5
HU001.24.a	10	15.6	2.5
RO001.28.e	9	18.3	5.5
US001.3.h	11	12.3	3.5
US013.23.a	8	15	5
RO002.15.g	7	16.1	4
UA007.20.b	6	16.3	3
TR005.18.d	6	12.8	4.5
UA004.7.e	12	13.6	4.5
TR003.2.a	7	10.5	3
US015.15.f	9	15.5	5
US002.17.h	11	19.5	3.5
UA002.15.h	10	23	5.5
US015.15.g	10	13	3
RO004.12.c	14	13	3
RU002.2.c	14	14	3.5
RU005.5.f	13	13	2.5
US020.24.d	6	14.5	3
US003.28.f	13	17	3.5
UA006.22.b	5	4.5	1
CA001.6.b	8	17	4.5
HU001.14.j	9	13	4
GR002.2.b	12	14.5	1.5
RU001.6.c	11	11	3.5
US001.20.d	13	12	3
UA004.5.j	12	12	4.5
US002.24.h	14	12	3
GR001.26.l	9	13.5	1
US014.17.a	8	16	3.5
RO001.12.j	6	18	3
UA002.18.f	9	15	3.5
RO002.12.i	8	16	3.5
UA003.8.d	8	17	3
BG001.17.i	10	14	3
CA008.4.m	10	16	3.5
RU008.18.b	10	12	3
GR003.3.b	9	13.5	2.5
RO003.4.j	12	11	2.5
RO005.14.b	10	14	3
TR001.12.h	10	14	3
RO004.20.f	12	10.3	3.4
UA003.6.f	9	16.5	4.5
UA004.15.g	13	13.8	4
US012.35.b	7	16.9	5.8
US001.22.j	13	15.5	5.3
US021.8.e	13	14	5
RU004.7.a	11	14.5	4
BG001.25.b	11	14	5.5
RO002.22.h	6	3	1.5
TR001.10.f	11	16	5
RO005.25.h	9	14.8	4
UA005.18.g	13	14.3	4
GR002.13.f	8	17	3.5
US020.24.b	12	11.4	4
US003.6.j	9	11.5	4
GR003.17.d	10	17.5	4.5
HU001.24.b	10	21	6.5
CA001.7.h	14	16.8	5.6
US015.3.c	10	15	6
TR003.2.e	10	9.8	3
UA002.14.d	11	16.8	6
RU008.19.g	15	13.2	5
RO001.6.h	11	17.5	5.5
CA008.4.g	10	15.2	5.4
US002.1.a	15	11.5	3
RU001.6.i	11	13	4
RO003.21.i	13	13.3	3.8
US022.23.g	10	12.5	3.5
GR001.14.e	11	16	5
US013.2.a	6	18.5	5.5
TR004.18.e	10	16.5	5.6
RU005.6.e	13	13	4.8
TR004.18.b	7	13.1	3.2
CA001.6.h	10	12.2	4.3
UA005.18.b	16	14.6	3.2
BG001.16.a	14	14.4	3.7
US021.8.c	14	13.9	4.6
RU001.2.j	11	18.2	3.2
US018.5.c	7	14.1	2.7
RU004.7.d	12	18.7	4.6
US003.19.d	15	13.4	2.2
RO001.21.e	11	13.5	2.5
TR005.9.b	9	13.9	3.2
RO005.17.k	7	10.6	2
TR003.14.c	10	13.7	2.9
GR003.17.b	8	20.1	3.4
US002.5.j	12	16	2
UA002.13.e	10	17.1	3.7
US001.23.e	12	17.2	3.2
US022.42.c	11	15.1	4
US011.12.a	2	6.1	0.7
CA008.4.f	8	15.5	2.9
GR001.14.h	8	16	3.2
RU005.11.b	13	13.9	3.1
UA004.7.g	17	15.5	3.6
RU003.7.e	11	16.4	4
TR001.19.i	9	17.1	2.4
RO003.15.j	10	15.7	3
HU001.13.b	8	18.5	4.8
UA003.8.g	10	16.9	1.3
RU008.19.h	13	15.8	4.1
US015.17.a	10	17	4.1
US014.16.a	12	18	3.2
RO004.3.j	15	15.5	3
GR002.8.e	9	13.1	3.7
RO002.18.a	8	10.9	2.8
US020.24.e	12	20.6	4.2
TR004.18.j	9	11.1	2.4
RU002.6.a	13	13.5	3.6
UA006.10.e	8	12.8	3
US003.19.f	12	13.5	4.4
UA003.11A.e	11	15.3	3.7
UA004.15.e	13	14.6	4.8
RU005.6.g	9	17	4.2
HU001.28.b	13	17.8	4.8
RU001.6.g	13	15.5	3.5
UA007.24.i	8	13.7	2.9
GR003.10.j	8	15.4	3.4
CA001.4.e	14	12	2.9
BG001.29.b	9	13.6	3.1
US022.23.e	10	16.2	3.4
RO005.15.a	11	15.9	3.8
US002.24.j	14	16	3.8
UA001.25.d	13	15	4.2
RO001.13.e	10	16.1	2.7
RO002.18.j	6	10.2	1.9
UA002.18.e	10	15.4	4.1
RU008.17.f	10	17.1	5.2
GR001.28.e	8	13.4	3.2
RO003.15.e	10	15.7	1.6
GR002.8.i	8	12	2.4
US018.11.a	10	11.7	3.1
RO004.3.i	12	13.3	3.8
RU004.5.d	8	14.2	2.1
US001.20.g	13	12.3	2.9
TR003.24.j	4	4.9	0.9
TR001.24.a	8	13.3	4.1
US011.12.b	5	9.6	1
CA008.6.c	10	9.6	2.5
RO004.20.c	11	20.5	3.5
GR003.12.e	6	13.8	2
GR002.25.j	11	17.5	3.1
RO001.13.j	11	16.2	2.9
GR001.28.c	7	12.3	2.5
RU008.18.g	10	18	5.9
TR004.27.f	6	12.8	2.2
UA007.24.c	9	16.5	3.2
US003.27.a	14	17.3	4.2
RU005.6.c	11	13.2	4.2
RU001.2.b	14	15.8	3.7
RO002.18.i	8	11.1	1.7
US001.20.e	12	17.2	4
UA003.7A.c	8	14.7	1.9
CA001.4.i	10	13.1	3.1
US012.31.c	4	14	2.8
UA004.18.c	11	19	4.8
RO005.17.f	9	9.4	2.2
RO003.11.j	10	17.6	2.8
BG001.29.a	12	12.9	3.1
TR001.10.g	11	15.6	3.1
US021.8.f	7	14	3.2
US002.24.i	15	13.3	2.9
HU001.14.g	13	16.6	3.5
US022.42.f	13	16.2	3
UA008.18.h	3	9.1	1.1
RU004.8.b	9	11.8	2.1
US013.14.c	9	15.9	2.3
UA003.11A.a	10	15	2.7
BG001.22.b	14	10.4	3.7
RU001.6.f	13	14.2	4.4
UA004.5.f	13	14.8	2.9
US012.31.b	8	15.8	4
CA001.2.i	10	17	4.3
US014.22.e	8	11	3.6
TR001.12.i	11	14	2.8
US015.13.b	9	13.6	1.6
GR003.17.e	10	17.3	3.2
UA001.18.d	12	12.8	3.7
US022.42.d	10	13.2	3.2
CA008.4.i	9	15.2	4.1
RU005.5.a	13	12	3.4
RO003.21.k	14	14.4	2.1
RO001.13.b	10	13.4	3.1
GR001.26.h	6	15.8	4.1
US001.23.b	11	13	3.8
RO002.18.d	6	10.1	1.2
UA002.13.b	9	13.8	4.4
US003.19.i	12	12.2	2.8
RU004.7.f	11	14.9	3.2
TR004.27.g	5	15.4	3.2
GR002.2.i	14	15.7	2.5
US021.3.c	9	11.9	2.8
HU001.5.j	6	8.3	2.1
RU008.18.a	10	10.1	2.9
UA006.14.j	7	15.4	2.8
RO004.13.j	12	9.7	3.1
RO005.17.e	9	10	2.7
US002.17.j	10	12.2	3.2
US023.41.b	11	9.2	1.8
RO004.12.b	11	16	2.6
US025.2.i			
RO005.25.g	8	16.2	2.9
RO002.15.k	10	14.4	3.1
US015.17.e	8	19.5	4.2
TR001.1.j	7	20.1	3.7
RU001.2.d	13	13.2	3.7
GR002.13.e	8	14.7	2.7
UA004.7.a	13	13	2.9
TR003.6.c	8	16.3	2.6
RU008.21.c	12	23.4	3.6
UA001.25.b	15	13.8	4.5
US001.22.e	13	15.5	2.6
US002.24.e	14	16.2	3
GR003.12.h	7	14.6	1.8
UA002.15.e	13	13.9	3.6
TR004.8.f	7	16.5	1.8
TR005.20.a	8	13.8	3.6
RU003.4.c	1	4	0.6
UA003.6.h	10	14.3	2.8
RO003.21.a	11	16.8	2.5
US012.29.h	9	17.7	4
BG001.29.c	10	15.1	3.1
RU005.3.a	17	11	3.6
UA008.18.d	9	13.7	3.2
GR001.28.d	8	14.5	2.6
RO001.12.h	11	18.5	3.5
US023.26.f			
HU001.28.d	11	16	3.8
US014.16.g	11	14.1	3.6
US003.20.a	16	16.9	3.5
US020.42.j			
CA001.7.a	14	12.7	3.3
RU003.4.e	8	14.6	2.3
UA001.18.a	12	17	3.5
GR001.14.g	11	16	3
HU001.5.g	6	11.5	1.6
RO004.20.j	11	10.1	3.1
RO005.25.j	8	10.9	2.8
UA004.18.g	11	15	4.2
US012.31.e	7	11.6	3
US015.13.i	8	13.4	3.6
RU005.11.c	13	11.8	2.3
TR001.24.g	9	17.5	3.7
RU001.6.e	12	17	4.8
TR003.14.a	8	8.3	1.6
RO001.12.c	7	15.5	3.2
CA001.7.f	9	14.7	4.2
RU004.10.c	8	15	3.7
US018.11.b	6	11.2	3.2
GR003.3.f	10	14.5	2.1
RO003.4.a	12	16	3.2
US014.22.j	10	16.3	4.5
GR002.17.e	10	15.4	2.4
RU008.19.f	14	15	3.3
RU002.2.b	5	11	1.3
RO002.13.e	9	11.6	2.6
US022.17.g	9	15.3	2.4
UA005.13.a	10	17.5	3.2
UA008.18.a	9	15.3	3.1
BG001.17.h	12	12	1.8
UA003.6.b	12	15.6	3.6
US002.5.i	10	12.2	3.4
US003.27.h	9	14.8	4.2
US025.27.b			
US001.23.d	12	14.3	4.1
UA001.22.d	9	12.2	2.6
RO002.15.a	11	13.2	3
US015.17.h	9	17.3	4.1
UA002.15.b	9	24.2	4.6
RO001.6.g	12	17	4.1
RO004.20.i	11	11.6	2.1
CA008.5.f	13	15.7	4.2
TR003.6.b	8	14.1	1.8
CA001.3.f	10	17.1	4.8
UA003.11A.d	12	20	4.5
US021.10.a	8	17	4.1
RU005.7.d	12	16.3	3.2
TR001.1.g	25	16.4	4.2
US002.1.i	10	14.9	3.1
US012.31.h	4	10.2	1.2
US020.42.g	18	17.6	2.3
RU008.18.e	13	13.8	4.5
US022.23.j	8	13	1.5
TR005.9.a	9	12.3	2.5
US023.41.a	12	16.2	3.8
UA004.5.i	14	16.2	3.6
GR001.28.i	8	16.2	3.7
RU004.10.b	9	17.8	3.9
GR003.9.f	12	19.4	4.6
GR002.17.a	9	21.2	2.3
UA005.18.j	12	17.8	3.8
BG001.22.j	14	10.7	2.2
HU001.5.k	10	16.1	3.6
RO005.23.i	10	18.5	4
US001.23.j	14	17.3	3.2
RU001.6.d	11	12.7	2.4
RO003.4.e	10	13.2	2.4
TR004.14.f	11	15.2	2.8
US003.19.b	14	17.3	3.7
GR001.26.b	10	13.6	3.1
US003.27.f	10	17.2	5.3
UA003.7A.j	9	17.7	6.1
TR001.24.f	8	14	3.1
UA004.7.b	15	17.4	6
UA002.14.a	13	16.5	4.2
US015.13.c	9	15.7	3.2
TR005.18.i	8	9.6	1.8
US022.23.c	10	12	2.3
US002.22.g	13	16.8	3.9
TR004.8.c	10	17	5
RO001.12.g	8	19	5.6
RU001.10.c	8	12	3.7
RU005.6.h	9	13.2	4
US021.8.h	12	14.6	5
RU008.17.h	12	13.8	3.6
CA001.3.e	11	15.4	4.6
RO005.23.e	11	17	5.6
US011.8.e	9	11.8	3.2
RO004.20.e	14	12	3
US014.17.d	7	14.5	2.6
BG001.29.i	13	13.9	2.9
RO002.13.b	10	12.1	2.5
HU001.24.c	8	17.2	5
GR002.13.h	10	18.2	5.2
US001.14.i	13	12.5	4.3
RO003.11.i	7	11.2	2.1
RU002.1.e	14	9	2.6
GR003.9.g	8	14.5	3.1
RO003.4.c	12	16.1	2.9
RU008.21.h	12	20	3.8
UA003.9A.g	9	16.6	4.2
TR001.10.a	10	17.8	4.6
HU001.28.i	12	18.5	4.6
RO001.21.a	9	16.1	2.2
GR002.2.f	12	14.7	3.8
GR001.14.c	7	14.5	2.9
RU004.10.a	9	16.8	5
GR003.10.i	8	17	4.9
US012.35.e	8	15	3.6
TR003.15.c	12	16.8	2.1
CA008.2.c	12	16.8	2.1
BG001.22.g	13	13.4	3.8
US011.8.i	9	17.2	3.6
US002.24.d	15	18.3	3.5
US001.20.f	12	21.7	5.6
CA001.2.f	12	19.8	4.1
US003.20.f	11	17.3	4.2
US014.4.b	6	13	2
US015.13.a	10	15.6	2.2
RO002.15.j	11	14.1	3.4
RO004.3.a	12	18.1	3.1
RU005.11.d	11	12.2	2.5
TR004.8.b	10	18.8	4.7
UA005.7.h	12	16.3	5.6
US022.31.f	12	16.4	3
TR005.18.j	9	16	2.5
RO005.14.a	10	16.2	5.7
TR003.15.b	8	11.1	2.1
US018.11.d	13	13.2	4.1
GR001.28.a	8	13.2	3.3
RO002.12.j	9	12.3	2.9
CA008.5.m	10	12.2	3.8
RU001.10.b	8	11.8	2.1
CA001.6.j	12	15.2	4.2
US003.27.c	10	14.5	3.8
UA005.3.a	9	15.6	2.7
US021.1.c	4	10.2	0.8
US002.5.h	12	14.2	3.2
GR003.3.c	5	12.2	2.3
US013.14.e	12	15.9	4
RO003.4.b	13	15.9	2.7
UA003.7A.g	13	15.7	4.7
TR004.14.g	10	14.2	3.7
US012.29.b	9	15	3.8
UA004.5.h	13	16.4	2.2
TR005.18.l	15	11.7	2.2
RU008.16.h	12	13.5	3.9
HU001.28.j	12	15.1	4.6
RO004.3.h	12	17.2	3.2
BG001.29.f	12	15.5	4.2
RO001.6.d	10	15	3
US011.13.a	7	11.2	1.8
RU003.7.f	16	11.8	3
US001.14.b	11	15.4	3.1
RO005.14.c	12	13.3	3.6
TR001.24.j	8	13	2.3
GR002.2.d	11	12.4	3.2
