ID	LfCount1	MaxLfLgth1	MaxLfWdth1
UA005.7.a	10	17	5.2
TR001.19.f	9	15.2	3.1
UA004.27.e	11	16.3	6.5
RO001.21.f	11	13.4	3.7
US001.23.c	8	15	3.3
CA008.5.g	11	12	2.8
RO001.6.c	10	11.9	2.5
RU004.6.a	11	9.9	1.9
UA004.18.h	13	14.1	2.5
CA001.2.a	12	19.1	4.1
US002.22.i	15	18.9	4.6
US020.24.f	11	18.6	4.1
GR003.9.h	11	13.5	2.3
GR001.6.e	7	13.4	2.9
US026.15.c	9	13.9	3.6
RU001.10.h	8	13.8	3.2
TR005.9.d	6	11.6	1.6
US003.20.j	15	19	2.9
UA001.18.e	11	10.5	2.6
US023.41.c	11	18.7	4.5
RO005.23.d	10	13	3.5
US013.14.f	3	11.4	1.7
US019.6.c			
UA008.25.b	6	16.2	2.6
HU001.24.h	11	18.6	3.2
BG001.22.h	13	12.5	2.6
UA002.18.d	11	18.7	5.2
RO003.21.j	13	15.2	2.9
GR002.17.d	12	11.6	1.1
US015.13.j	12	11.2	3.4
CA008.4.h	9	11.7	2.8
RO002.12.a	8	12.4	2.9
RU008.19.d	11	13.2	3
US001.20.c	10	12.6	2.5
RO004.3.e	10	12.2	2.5
US012.29.c	6	12.8	1.5
US018.31.b	7	13.2	3.9
CA007.1.a	9	11.4	2.9
TR001.10.j	11	10.3	2.1
UA003.9A.j	9	13.4	3.1
US012.28.f	5	9.2	1.6
US002.5.d	13	11	2.3
US003.28.b	9	17.4	5.5
RO002.22.b	8	12.1	3.2
CA007.4.a	11	9.8	3.4
GR003.3.i	8	13.1	3.2
RO004.12.e	10	9.6	2.8
RU008.17.j	9	15.4	3.4
RO001.28.d	9	16.7	4.2
CA001.6.f	11	13.6	4.2
GR002.2.h	13	13.8	2.9
US011.13.c	8	11.1	2.3
US022.23.a	7	10.4	2.1
US001.22.d	12	11.2	3.4
TR003.2.g	7	10.6	2.2
US015.17.d	9	13.5	4.7
CA008.5.d	10	11.3	3.1
BG001.29.j	11	17.8	3.7
HU001.5.b	9	15.2	4.1
UA004.18.j	14	12.5	2.9
US023.45.e	7	11	2.9
RO005.25.e	8	13.7	3.2
TR004.18.f	8	18	5.2
TR001.24.n	6	13.5	2.6
UA003.8.e	7	12.2	2.2
RU003.7.c	14	16	3.8
RO003.15.b	11	12.2	3.2
US001.14.c	12	13	2.6
RO001.28.b	9	12.8	3.1
US022.23.b	9	14.2	2.6
RO002.15.f	9	12.5	3.5
US014.22.a	8	12.8	3.8
RO004.13.e	10	14.4	2.3
RU005.7.c	14	11.1	2.3
US012.35.h	2	8.9	1.2
TR001.24.d	8	13	2.6
RO003.9.m	7	8.5	1.3
GR003.10.a	7	14.1	2.8
UA002.15.d	14	16.9	3.5
US018.11.e	9	11.6	2.2
TR003.15.h	4	8.7	0.9
US015.3.g	8	12	2.1
CA001.4.f	14	10.9	2.8
RO005.25.l	8	12.5	2.2
CA007.4.b	10	12.1	3.2
RU003.1.e	8	13	3.1
RU001.6.h	12	11	2.3
BG001.29.d	12	12.9	3.5
RU008.17.c	10	12.1	2.5
UA003.8.i	10	17	3
RU004.5.b	10	11.5	2.7
US023.34.b	8	14.6	3.4
UA005.7.b	12	11.7	2.5
HU001.28.g	13	13.6	4.1
UA004.27.c	14	12.8	2.9
CA008.6.h	8	11.9	3.1
US003.20.b	14	12.5	2.6
GR002.8.b	9	13.3	2.9
US002.22.o	14	18.1	3.4
TR004.14.e	6	10.4	2.7
US003.28.c	15	11.2	3.1
US002.5.b	12	9.4	2.6
BG001.17.j	11	8.3	2.6
GR001.6.b	7	11.2	3.8
RO002.18.f	9	10.3	2.3
GR003.12.d	8	12.7	2.8
