PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log	Latitude	Longitude	bolt.bin
28	GR002	10	23	13	c	nat	cut	GR002.13.c	76	17	n	76	4.03	1.009	14	y	NA	8	15.1	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.71469474382088	0.955511445027436	3.74165738677394	4.12310562561766	1.39376637595859	0.0089597413714718	40.6213888888889	23.0786111111111	0
29	GR002	11	23	2	j	nat	cut	GR002.2.j	77	0	y	77	6.91	1.098	20	n	13.7	14	13.2	3.1	15	NA	15	18	1	13.7	39	1	39.8	69	1	42	63	white		3.74165738677394	2.58021682959233	1.1314021114911	4.47213595499958	0	1.93296963777958	0.093490343087339	40.6213888888889	23.0786111111111	1
30	GR002	41	47	8	e	nat	cut	GR002.8.e	76	8	y	76	5.19	0.482	11	n	13.5	9	13.1	3.7	NA	NA	18	18	1	13.5	39	1	26.7	69	1	26.5	57	white		3	2.57261223020711	1.30833281965018	3.3166247903554	2.82842712474619	1.6467336971778	-0.729811164931537	40.6213888888889	23.0786111111111	1
31	GR002	38	7	13	j	nat	cut	GR002.13.j	76	25	n	76	8.29	1.458	17	n	NA	8	5	4.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	1.6094379124341	1.48160454092422	4.12310562561766	5	2.1150499691472	0.377065633586466	40.6213888888889	23.0786111111111	0
32	GR002	33	50	8	a	nat	cut	GR002.8.a	76	22	y	76	7.36	1.09	16	n	NA	11	12.1	3.1	NA	NA	53	NA	NA	NA	53	1	4.4	69	1	31.5	NA			3.3166247903554	2.4932054526027	1.1314021114911	4	4.69041575982343	1.99605993274078	0.0861776962410524	40.6213888888889	23.0786111111111	1
33	GR003	16	12	10	b	nat	cut	GR003.10.b	77	14	y	77	6.92	0.947	11	y	33.3	8	13.7	3.7	15	NA	11	18	1	33.3	38	1	30.4	69	1	33	57	white		2.82842712474619	2.61739583283408	1.30833281965018	3.3166247903554	3.74165738677394	1.93441576962958	-0.0544561857960589	40.8508333333333	25.7930555555556	1
34	GR003	38	23	3	a	nat	cut	GR003.3.a	76	5	y	76	6.3	0.732	3	n	44.9	9	13	3.5	15	NA	18	18	1	44.9	39	1	42.3	69	1	47.5	43	white		3	2.56494935746154	1.25276296849537	1.73205080756888	2.23606797749979	1.84054963339749	-0.311974765020825	40.8508333333333	25.7930555555556	1
35	GR003	41	17	17	b	nat	cut	GR003.17.b	76	20	n	76	6.2	0.63	13	y	NA	8	20.1	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	3.00071981506503	1.22377543162212	3.60555127546399	4.47213595499958	1.82454929205105	-0.462035459596559	40.8508333333333	25.7930555555556	0
36	GR003	11	14	3	g	nat	cut	GR003.3.g	77	37	n	77	6.66	1.146	24	n	NA	10	15.2	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.72129542785223	1.06471073699243	4.89897948556636	6.08276253029822	1.8961194845523	0.136277618292548	40.8508333333333	25.7930555555556	0
37	GR003	4	25	3	e	nat	cut	GR003.3.e	76	22	n	76	6.86	1.534	17	y	NA	11	12.2	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.50143595173921	0.8754687373539	4.12310562561766	4.69041575982343	1.92570744173779	0.427878702945064	40.8508333333333	25.7930555555556	0
