Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log
CA007.2.a	11	2	CA007	2	a	inv	cut	CA007.2.a	77	13	y	77	6.79	1.435	19	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.35889894354067	3.60555127546399	1.9154509415706	0.361164849211584
RO005.25.f	11	4	RO005	25	f	nat	cut	RO005.25.f	77	31	n	77	6.72	1.047	18	y	NA	9	13.8	3.2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.62466859216316	1.16315080980568	4.24264068711928	5.56776436283002	1.90508815453506	0.0459289318883997
UA003.9A.a	11	5	UA003	9A	a	nat	cut	UA003.9A.a	77	25	y	77	8.47	2.659	16	n	NA	10	15.1	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.71469474382088	1.22377543162212	4	5	2.13653050866396	0.977950112260883
CA001.2.c	11	6	CA001	2	c	inv	cut	CA001.2.c	77	27	n	77	9.21	1.519	20	n	NA	11	12.1	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.4932054526027	1.25276296849537	4.47213595499958	5.19615242270663	2.22028985026722	0.418052223613636
TR003.2.f	11	8	TR003	2	f	nat	cut	TR003.2.f	77	24	y	77	5.28	0.408	17	n	NA	9	10.2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.32238772029023	0.641853886172395	4.12310562561766	4.89897948556636	1.66392609771817	-0.896488104577975
HU001.14.k	11	9	HU001	14	k	nat	cut	HU001.14.k	77	41	n	77	7.01	1.245	15	n	NA	7	13.4	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.59525470695687	0.78845736036427	3.87298334620742	6.40312423743285	1.9473377010465	0.219135529916671
US001.3.i	11	10	US001	3	i	inv	cut	US001.3.i	77	27	n	77	8.08	3.233	17	n	NA	11	13.6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.61006979274201	1.38629436111989	4.12310562561766	5.19615242270663	2.089391872533	1.1734104987433
RU008.21.d	11	11	RU008	21	d	nat	cut	RU008.21.d	77	24	y	77	7.15	1.093	20	n	NA	11	12.8	2.2	NA	NA	69	NA	NA	NA	NA	NA	NA	69	1	8.5	NA			3.3166247903554	2.54944517092557	0.78845736036427	4.47213595499958	4.89897948556636	1.96711235670592	0.0889262091944015
CA007.20.a	11	12	CA007	20	a	inv	cut	CA007.20.a	NA	NA		NA	NA	NA	NA	NA	NA	12	13.4	4.1	15	NA	50	NA	NA	NA	50	1	18	69	1	31	NA			3.46410161513775	2.59525470695687	1.41098697371026	NA	NA	NA	NA
US022.42.k	11	13	US022	42	k	inv	cut	US022.42.k	77	28	n	77	7.72	1.841	19	n	NA	11	12.9	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.55722731136763	0.741937344729377	4.35889894354067	5.29150262212918	2.04381436403668	0.610308902250941
