Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	sqrt(cont$LfCount1)	log(cont$LfLgth1)	log(cont$LfWdth1)	sqrt(cont$LfCount2)	log(cont$LfLgth2)	log(cont$LfWdth2)	sqrt(cont$LfCountH)	log(cont$LfLgthH)	log(cont$LfWdthH)	log(cont$CrownDiam.mm)	log(cont$ShootMass.g)	log(cont$RootMass.g)
HU001.5.a	12	38	HU001	5	a	nat	cont	HU001.5.a	86	14	24	7.2	n	85	4.56	1.039	1.19	9	22.9	3.6	y	NA	9	17.6	3.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.86789890204411	1.22377543162212	3	3.13113691056019	1.28093384546206	3.74165738677394	3.17805383034795	1.97408102602201	1.51732262352629	0.0382587121170903	0.173953307123438
RU005.11.a	12	39	RU005	11	a	nat	cont	RU005.11.a	86	64	24.7	3.6	n	85	12.97	6.371	10.266	56	20	3.1	y	NA	38	13.1	2.2	two rosettes (9/8)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			6.16441400296898	2.57261223020711	0.78845736036427	7.48331477354788	2.99573227355399	1.1314021114911	8	3.20680324363393	1.28093384546206	2.56263899832835	1.85175644313435	2.32883746413811
GR002.17.f	12	40	GR002	17	f	nat	cont	GR002.17.f	86	16	40.4	5.9	n	85	7.97	1.527	0.832	13	26.4	3.4	n	NA	10	16.9	2.7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.82731362192903	0.993251773010283	3.60555127546399	3.27336401015227	1.22377543162212	4	3.6988297849671	1.77495235091167	2.07568449280212	0.423305026236495	-0.183922838160928
US012.28.b	12	41	US012	28	b	inv	cont	US012.28.b	86	13	29.9	6.6	n	85	6.04	1.881	1.069	9	21.2	5.6	n	NA	7	17.7	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.64575131106459	2.87356463957978	1.43508452528932	3	3.05400118167797	1.7227665977411	3.60555127546399	3.39785848039664	1.88706964903238	1.79840401194672	0.631803550318893	0.0667236320429081
US003.19.a	12	42	US003	19	a	inv	cont	US003.19.a	86	18	24.5	6.4	n	85	8.04	3.135	4.002	15	21	5	n	NA	11	11.6	3.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.45100509811232	1.16315080980568	3.87298334620742	3.04452243772342	1.6094379124341	4.24264068711928	3.19867311755068	1.85629799036563	2.08442908319087	1.14262917408488	1.38679423616154
RO005.14.e	12	43	RO005	14	e	nat	cont	RO005.14.e	86	11	20.2	6	y	85	8.88	3.522	1.906	17	19.3	4.6	y	NA	8	12.5	2.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.52572864430826	0.916290731874155	4.12310562561766	2.96010509591084	1.52605630349505	3.3166247903554	3.00568260440716	1.79175946922805	2.18380155700408	1.25902901007401	0.64500680523201
CA008.2.b	12	45	CA008	2	b	inv	cont	CA008.2.b	86	17	27.7	7.1	n	85	6.33	1.891	0.792	18	24.2	5.5	y	NA	13	13.6	3.9		69	NA	NA	NA	NA	NA	NA	69	1	5.5		NA			3.60555127546399	2.61006979274201	1.3609765531356	4.24264068711928	3.18635263316264	1.70474809223843	4.12310562561766	3.32143241319329	1.96009478404727	1.84530023615608	0.63710578967632	-0.233193887167711
US022.17.a	12	47	US022	17	a	inv	cont	US022.17.a	86	12	27.2	5.4	n	85	7.72	2.827	2.123	17	21	4.6	y	NA	13	15	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.70805020110221	1.09861228866811	4.12310562561766	3.04452243772342	1.52605630349505	3.46410161513775	3.30321697330195	1.68639895357023	2.04381436403668	1.03921607871145	0.752830182721119
RO002.15.c	12	48	RO002	15	c	nat	cont	RO002.15.c	86	23	26.3	5.1	n	85	6.72	2.153	1.486	13	13.3	4.4	y	NA	13	14.6	4.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.68102152871429	1.45861502269952	3.60555127546399	2.58776403522771	1.48160454092422	4.79583152331272	3.26956893918372	1.62924053973028	1.90508815453506	0.766862218382226	0.396087946295567
RU002.1.d	12	49	RU002	1	d	nat	cont	RU002.1.d	86	21	27.2	6.7	n	85	8.37	3.321	3.131	22	22	3.7	y	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			NA	NA	NA	4.69041575982343	3.09104245335832	1.30833281965018	4.58257569495584	3.30321697330195	1.90210752639692	2.12465388450138	1.20026594239461	1.14135244234427
UA005.15.c	18	1	UA005	15	c	nat	cont	UA005.15.c	85	24	22.4	5.1	n	85	8	4.518	4.757	16	19.1	4.5	n	NA	7	10.6	2.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.64575131106459	2.36085400111802	0.741937344729377	4	2.94968833505258	1.50407739677627	4.89897948556636	3.10906095886099	1.62924053973028	2.07944154167984	1.50806941804581	1.55961721745014
