Rack	Pos	PopID	Mom	Indiv	Origin	Trt	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2
US022.17.h	38	16	US022	17	h	inv	cut	20	NA	NA	n	NA
BG001.29.g	38	17	BG001	29	g	nat	cut	24	NA	NA	n	NA
GR001.26.g	38	18	GR001	26	g	nat	cut	14	NA	NA	n	6.1
RO005.17.d	38	20	RO005	17	d	nat	cut	15	NA	NA	n	NA
GR003.3.a	38	23	GR003	3	a	nat	cut	3	NA	NA	n	44.9
US012.29.a	38	24	US012	29	a	inv	cut	11	NA	NA	n	NA
UA006.10.d	38	25	UA006	10	d	nat	cut	16	NA	NA	n	NA
RU008.21.i	38	27	RU008	21	i	nat	cut	22	NA	NA	n	NA
RU003.4.d	38	28	RU003	4	d	nat	cut	17	NA	NA	n	NA
RU005.6.d	38	29	RU005	6	d	nat	cut	23	NA	NA	n	NA
US003.28.d	38	30	US003	28	d	inv	cut	12	NA	NA	n	NA
RO004.21.e	38	31	RO004	21	e	nat	cut	19	NA	NA	n	NA
RU001.6.j	38	34	RU001	6	j	nat	cut	17	NA	NA	n	NA
HU001.24.a	38	35	HU001	24	a	nat	cut	18	NA	NA	n	NA
RO001.28.e	38	36	RO001	28	e	nat	cut	12	NA	NA	n	NA
US001.3.h	38	37	US001	3	h	inv	cut	21	NA	NA	n	NA
RO002.15.g	38	39	RO002	15	g	nat	cut	8	NA	NA	n	NA
TR005.20.g	38	41	TR005	20	g	nat	cut	14	NA	NA	n	NA
UA004.7.e	38	42	UA004	7	e	nat	cut	21	NA	NA	n	NA
TR003.2.a	38	43	TR003	2	a	nat	cut	10	NA	NA	n	NA
US015.15.f	38	44	US015	15	f	inv	cut	15	NA	NA	n	NA
RU002.2.e	38	45	RU002	2	e	nat	cut	18	NA	NA	n	NA
US002.17.h	38	49	US002	17	h	inv	cut	12	NA	NA	n	NA
UA002.15.h	38	50	UA002	15	h	nat	cut	12	NA	NA	n	NA
TR004.18.b	41	1	TR004	18	b	nat	cut	12	NA	NA	n	NA
CA001.6.h	41	2	CA001	6	h	inv	cut	17	NA	NA	n	NA
UA005.18.b	41	5	UA005	18	b	nat	cut	27	NA	NA	n	NA
BG001.16.a	41	6	BG001	16	a	nat	cut	17	NA	NA	n	NA
RU001.2.j	41	8	RU001	2	j	nat	cut	23	NA	NA	n	NA
US018.11.a	41	9	US018	11	a	inv	cut	26	NA	NA	n	NA
RU004.7.d	41	10	RU004	7	d	nat	cut	18	NA	NA	n	NA
US003.19.d	41	11	US003	19	d	inv	cut	24	NA	NA	y	NA
RO001.21.e	41	12	RO001	21	e	nat	cut	19	NA	NA	y	NA
TR005.9.b	41	13	TR005	9	b	nat	cut	10	NA	NA	y	NA
RO005.17.k	41	15	RO005	17	k	nat	cut	13	NA	NA	y	NA
TR003.14.c	41	16	TR003	14	c	nat	cut	13	NA	NA	n	NA
GR003.17.b	41	17	GR003	17	b	nat	cut	13	NA	NA	y	NA
US002.5.j	41	21	US002	5	j	inv	cut	18	NA	NA	n	NA
UA002.13.e	41	22	UA002	13	e	nat	cut	18	NA	NA	n	NA
US001.23.e	41	23	US001	23	e	inv	cut	18	NA	NA	y	NA
US022.42.c	41	24	US022	42	c	inv	cut	15	NA	NA	n	NA
CA008.4.f	41	26	CA008	4	f	inv	cut	14	NA	NA	n	NA
GR001.14.h	41	27	GR001	14	h	nat	cut	11	NA	NA	n	NA
UA004.7.g	41	29	UA004	7	g	nat	cut	27	NA	NA	y	NA
RU003.7.e	41	30	RU003	7	e	nat	cut	16	NA	NA	n	NA
TR001.19.i	41	34	TR001	19	i	nat	cut	9	NA	NA	y	15.5
RO003.15.j	41	35	RO003	15	j	nat	cut	18	NA	NA	y	NA
HU001.13.b	41	36	HU001	13	b	nat	cut	14	NA	NA	n	NA
UA003.8.g	41	37	UA003	8	g	nat	cut	12	NA	NA	n	NA
RU008.19.h	41	38	RU008	19	h	nat	cut	16	NA	NA	n	NA
US015.17.a	41	39	US015	17	a	inv	cut	14	NA	NA	n	NA
US014.16.a	41	40	US014	16	a	inv	cut	20	NA	NA	n	NA
RO004.3.j	41	44	RO004	3	j	nat	cut	9	NA	NA	n	3.7
GR002.8.e	41	47	GR002	8	e	nat	cut	11	NA	NA	n	13.5
RO002.18.a	41	49	RO002	18	a	nat	cut	15	NA	NA	n	NA
US020.24.e	41	50	US020	24	e	inv	cut	15	NA	NA	n	NA
UA003.11A.a	44	1	UA003	11A	a	nat	control	13	23.5	5.3	y	NA
BG001.22.b	44	4	BG001	22	b	nat	control	30	21.4	4.1	y	NA
RU001.6.f	44	5	RU001	6	f	nat	control	20	22.9	4.5	n	NA
UA004.5.f	44	6	UA004	5	f	nat	control	17	27	3.6	y	NA
US012.31.b	44	7	US012	31	b	inv	control	11	23.9	4.6	n	NA
CA001.2.i	44	9	CA001	2	i	inv	control	12	20.7	5.7	y	NA
TR001.12.i	44	12	TR001	12	i	nat	control	14	23.2	4.5	y	NA
US015.13.b	44	13	US015	13	b	inv	control	16	23.6	5.2	y	NA
GR003.17.e	44	14	GR003	17	e	nat	control	11	26.7	4.4	y	NA
UA001.18.d	44	16	UA001	18	d	nat	control	17	28.3	4.9	y	NA
US022.42.d	44	17	US022	42	d	inv	control	13	22.5	4.7	y	NA
CA008.4.i	44	18	CA008	4	i	inv	control	10	28.2	7.9	n	NA
RU005.5.a	44	19	RU005	5	a	nat	control	17	23	4.2	y	NA
RO003.21.k	44	21	RO003	21	k	nat	control	15	20.7	2.8	y	NA
RO001.13.b	44	27	RO001	13	b	nat	control	12	24	3.9	y	NA
GR001.26.h	44	29	GR001	26	h	nat	control	12	24.7	3.7	n	NA
US001.23.b	44	30	US001	23	b	inv	control	16	24.9	5	n	NA
RO002.18.d	44	31	RO002	18	d	nat	control	13	20.8	3.8	n	NA
UA002.13.b	44	32	UA002	13	b	nat	control	19	23.9	4.8	y	NA
US003.19.i	44	35	US003	19	i	inv	control	12	20	4.6	y	NA
TR004.27.g	44	38	TR004	27	g	nat	control	15	29.6	5.2	n	NA
GR002.2.i	44	39	GR002	2	i	nat	control	21	24	3.5	y	NA
US021.3.c	44	42	US021	3	c	inv	control	14	21.2	5.5	y	NA
HU001.5.j	44	43	HU001	5	j	nat	control	13	19.1	5.2	y	NA
RU008.18.a	44	44	RU008	18	a	nat	control	16	21.6	4.4	n	NA
UA006.14.j	44	45	UA006	14	j	nat	control	11	24.4	5.1	y	NA
RO004.13.j	44	46	RO004	13	j	nat	control	17	19.3	3.7	y	NA
RO005.17.e	44	47	RO005	17	e	nat	control	15	23.7	5.5	y	NA
US002.17.j	44	48	US002	17	j	inv	control	16	20.1	3.2	y	NA
US011.13.c	44	49	US011	13	c	inv	control	22	18.5	3.3	n	NA
UA008.18.h	44	50	UA008	18	h	nat	control	9	22.5	4.9	n	NA
RU003.4.a	47	1	RU003	4	a	nat	nut def	21	16.2	3.1	y	NA
UA001.22.d	47	4	UA001	22	d	nat	nut def	15	16.5	4.8	y	NA
RO002.15.a	47	5	RO002	15	a	nat	nut def	15	19	3.2	y	NA
US015.17.h	47	7	US015	17	h	inv	nut def	10	20.7	4.3	y	NA
UA002.15.b	47	8	UA002	15	b	nat	nut def	11	27.4	7.2	y	NA
RO001.6.g	47	9	RO001	6	g	nat	nut def	8	18.6	4.3	y	25
RO004.20.i	47	10	RO004	20	i	nat	nut def	18	15.5	2.9	y	NA
CA008.5.f	47	12	CA008	5	f	inv	nut def	10	20.1	2.8	y	NA
TR003.6.b	47	13	TR003	6	b	nat	nut def	10	21.4	4.1	y	NA
CA001.3.f	47	14	CA001	3	f	inv	nut def	10	19.8	6.1	y	NA
UA003.11A.d	47	16	UA003	11A	d	nat	nut def	11	28	5.1	y	NA
US021.10.a	47	17	US021	10	a	inv	nut def	13	19.3	3.9	y	NA
RU005.7.d	47	18	RU005	7	d	nat	nut def	16	20.5	4.5	y	NA
TR001.1.g	47	20	TR001	1	g	nat	nut def	24	20.6	3.8	y	NA
US002.1.i	47	21	US002	1	i	inv	nut def	10	14.9	2.2	y	NA
US012.31.h	47	22	US012	31	h	inv	nut def	11	19.1	1.8	y	NA
US020.24.b	47	23	US020	24	b	inv	nut def	16	18.5	5.4	y	NA
RU008.18.e	47	24	RU008	18	e	nat	nut def	22	18.7	4.4	y	NA
US022.23.j	47	25	US022	23	j	inv	nut def	11	18	3.6	y	NA
TR005.9.a	47	26	TR005	9	a	nat	nut def	7	20	4.8	y	NA
UA004.5.i	47	28	UA004	5	i	nat	nut def	14	19.8	3.1	y	NA
GR001.28.i	47	32	GR001	28	i	nat	nut def	11	19.4	5.2	y	NA
RU004.10.b	47	33	RU004	10	b	nat	nut def	12	22.5	5.6	y	NA
GR003.9.f	47	35	GR003	9	f	nat	nut def	15	22.1	5.1	y	NA
GR002.17.a	47	37	GR002	17	a	nat	nut def	14	23.7	4.8	y	NA
UA005.18.j	47	38	UA005	18	j	nat	nut def	12	20.5	5.2	y	NA
BG001.22.j	47	40	BG001	22	j	nat	nut def	20	16.3	3	y	NA
HU001.5.k	47	41	HU001	5	k	nat	nut def	15	16.6	5.7	y	NA
RO005.23.i	47	43	RO005	23	i	nat	nut def	11	22	5.7	y	NA
US001.23.j	47	44	US001	23	j	inv	nut def	13	23	5.6	y	NA
RU001.6.d	47	45	RU001	6	d	nat	nut def	14	15.7	3.9	y	NA
RO003.4.e	47	46	RO003	4	e	nat	nut def	13	18.6	3.9	y	NA
TR004.14.f	47	47	TR004	14	f	nat	nut def	9	20.6	4.2	y	NA
US003.19.b	47	48	US003	19	b	inv	nut def	13	19.7	4.9	y	NA
RU002.6.a	47	49	RU002	6	a	nat	nut def	21	18.8	5	y	NA
US026.24.i	47	50	US026	24	i	inv	nut def	9	15.1	3.6	y	NA
RO003.4.c	49	1	RO003	4	c	nat	nut def	17	20.6	4.6	y	NA
RU008.21.h	49	2	RU008	21	h	nat	nut def	17	23.8	4.4	y	NA
UA003.9A.g	49	5	UA003	9A	g	nat	nut def	12	22.4	7.2	y	NA
TR001.10.a	49	6	TR001	10	a	nat	nut def	11	22.9	5.7	y	NA
HU001.28.i	49	7	HU001	28	i	nat	nut def	15	20.5	5.9	y	NA
RO001.21.a	49	11	RO001	21	a	nat	nut def	12	21	4.1	y	NA
GR002.2.f	49	12	GR002	2	f	nat	nut def	15	18.4	4.4	y	12
GR001.14.c	49	13	GR001	14	c	nat	nut def	8	16.9	4.5	y	NA
RU004.10.a	49	15	RU004	10	a	nat	nut def	12	19.6	4.1	y	NA
GR003.10.i	49	16	GR003	10	i	nat	nut def	10	21.1	4.2	y	NA
TR003.15.c	49	19	TR003	15	c	nat	nut def	11	18.6	3.8	y	NA
CA008.2.c	49	20	CA008	2	c	inv	nut def	15	21.9	3.3	n	NA
BG001.22.g	49	21	BG001	22	g	nat	nut def	20	18.6	5	y	NA
US011.8.i	49	24	US011	8	i	inv	nut def	14	21.3	6.5	y	NA
US002.24.d	49	26	US002	24	d	inv	nut def	18	23.3	7.1	y	NA
US001.20.f	49	27	US001	20	f	inv	nut def	12	23.2	4.7	y	NA
CA001.2.f	49	28	CA001	2	f	inv	nut def	8	23.1	4	y	NA
US003.20.f	49	29	US003	20	f	inv	nut def	12	18.1	3.9	y	NA
US014.4.b	49	31	US014	4	b	inv	nut def	14	17.7	2.8	y	NA
US015.13.a	49	32	US015	13	a	inv	nut def	14	17.6	5.2	y	NA
RO002.15.j	49	35	RO002	15	j	nat	nut def	12	17.3	4.1	y	NA
RO004.3.a	49	36	RO004	3	a	nat	nut def	17	20.2	4.7	y	NA
RU005.11.d	49	39	RU005	11	d	nat	nut def	18	17.1	4	y	NA
TR004.8.b	49	40	TR004	8	b	nat	nut def	8	19.6	3.9	y	NA
UA005.7.h	49	42	UA005	7	h	nat	nut def	14	18.1	6.3	y	NA
US022.31.f	49	45	US022	31	f	inv	nut def	12	16.9	3.7	y	NA
TR005.18.j	49	46	TR005	18	j	nat	nut def	9	18.3	4.7	y	NA
RO005.14.a	49	50	RO005	14	a	nat	nut def	11	16.5	3.5	y	NA
