Rack	Pos	PopID	Mom	Indiv	Origin	Trt	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2
RO002.12.a	7	39	RO002	12	a	nat	control	10	21.6	5.6	y	NA
RU008.19.d	7	40	RU008	19	d	nat	control	15	17.7	5.6	y	NA
US001.20.c	7	41	US001	20	c	inv	control	10	15.8	4.5	y	NA
RO004.3.e	7	42	RO004	3	e	nat	control	7	13.2	5.3	y	NA
US012.29.c	7	43	US012	29	c	inv	control	12	20.2	6	y	NA
US018.31.b	7	44	US018	31	b	inv	control	12	15.3	4.8	y	NA
TR001.10.j	7	47	TR001	10	j	nat	control	11	15.8	3.7	y	NA
RU005.5.b	7	49	RU005	5	b	nat	control	9	10	2.1	y	NA
UA003.9A.j	7	50	UA003	9A	j	nat	control	7	16.6	4.3	y	NA
US001.14.c	9	2	US001	14	c	inv	control	15	16.2	3.3	y	NA
RO001.28.b	9	4	RO001	28	b	nat	control	15	17.6	5.1	y	NA
US022.23.b	9	5	US022	23	b	inv	control	17	24.6	5	y	NA
RO002.15.f	9	6	RO002	15	f	nat	control	18	22.2	5.4	y	NA
US014.22.a	9	8	US014	22	a	inv	control	15	23.6	5.6	y	NA
RO004.13.e	9	9	RO004	13	e	nat	control	13	28.6	4.4	y	NA
RU005.7.c	9	10	RU005	7	c	nat	control	17	28	7.2	n	NA
US012.35.h	9	15	US012	35	h	inv	control	11	29	6.7	n	NA
TR001.24.d	9	17	TR001	24	d	nat	control	15	33.2	4.2	n	NA
RO003.9.m	9	19	RO003	9	m	nat	control	14	24.1	3.2	y	NA
GR003.10.a	9	20	GR003	10	a	nat	control	10	25.3	6.7	n	NA
UA002.15.d	9	21	UA002	15	d	nat	control	21	22.9	5	y	NA
TR003.15.h	9	26	TR003	15	h	nat	control	8	21.8	1.9	n	NA
US015.3.g	9	27	US015	3	g	inv	control	14	18.1	4.3	n	NA
CA001.4.f	9	28	CA001	4	f	inv	control	25	21.8	5.6	n	NA
RO005.25.l	9	31	RO005	25	l	nat	control	12	31.7	8.6	n	NA
CA007.4.b	9	32	CA007	4	b	inv	control	17	18.7	5.2	y	NA
RU003.1.e	9	33	RU003	1	e	nat	control	17	24.5	3.1	y	NA
RU001.6.h	9	34	RU001	6	h	nat	control	15	25.2	5	n	NA
BG001.29.d	9	35	BG001	29	d	nat	control	16	18.4	3.7	y	NA
RU008.17.c	9	36	RU008	17	c	nat	control	15	32.2	7.1	y	NA
UA003.8.i	9	38	UA003	8	i	nat	control	15	35	4.5	y	NA
RU004.5.b	9	39	RU004	5	b	nat	control	16	25.1	5.2	y	NA
US023.34.b	9	42	US023	34	b	inv	control	11	23	6.4	y	NA
UA005.7.b	9	43	UA005	7	b	nat	control	15	29.3	5.4	n	NA
HU001.28.g	9	44	HU001	28	g	nat	control	24	18	3.8	n	NA
UA004.27.c	9	45	UA004	27	c	nat	control	18	18.7	4.2	n	NA
CA008.6.h	9	47	CA008	6	h	inv	control	14	22	4.6	y	NA
US003.20.b	9	48	US003	20	b	inv	control	17	20.4	5	y	NA
GR002.8.b	9	49	GR002	8	b	nat	control	14	20	3.6	n	NA
US002.22.o	9	50	US002	22	o	inv	control	15	19.7	5.6	y	NA
TR004.14.e	10	2	TR004	14	e	nat	cut	9	NA	NA	n	NA
US003.28.c	10	3	US003	28	c	inv	cut	31	NA	NA	y	NA
US002.5.b	10	5	US002	5	b	inv	cut	20	NA	NA	n	NA
BG001.17.j	10	6	BG001	17	j	nat	cut	20	NA	NA	n	NA
GR001.6.b	10	10	GR001	6	b	nat	cut	11	NA	NA	n	NA
CA007.4.a	10	11	CA007	4	a	inv	cut	23	NA	NA	n	NA
RO002.18.f	10	14	RO002	18	f	nat	cut	19	NA	NA	n	NA
GR003.12.d	10	17	GR003	12	d	nat	cut	18	NA	NA	n	NA
UA006.14.e	10	19	UA006	14	e	nat	cut	15	NA	NA	n	NA
RO003.21.e	10	20	RO003	21	e	nat	cut	15	NA	NA	y	NA
GR002.13.c	10	23	GR002	13	c	nat	cut	14	NA	NA	y	NA
TR001.19.c	10	24	TR001	19	c	nat	cut	18	NA	NA	n	NA
US022.41.f	10	26	US022	41	f	inv	cut	18	NA	NA	y	NA
RU008.19.k	10	27	RU008	19	k	nat	cut	22	NA	NA	n	NA
RO004.13.d	10	30	RO004	13	d	nat	cut	16	NA	NA	n	NA
UA004.15.h	10	31	UA004	15	h	nat	cut	23	NA	NA	y	NA
US001.3.g	10	33	US001	3	g	inv	cut	18	NA	NA	n	NA
US015.2.b	10	36	US015	2	b	inv	cut	20	NA	NA	n	NA
UA003.8.a	10	39	UA003	8	a	nat	cut	17	NA	NA	n	NA
RU001.10.i	10	40	RU001	10	i	nat	cut	21	NA	NA	n	NA
CA001.2.j	10	41	CA001	2	j	inv	cut	19	NA	NA	y	NA
RO005.17.c	10	42	RO005	17	c	nat	cut	21	NA	NA	n	NA
RO001.13.d	10	43	RO001	13	d	nat	cut	22	NA	NA	n	NA
US026.23.b	10	44	US026	23	b	inv	cut	14	NA	NA	n	NA
HU001.24.f	10	45	HU001	24	f	nat	cut	18	NA	NA	n	NA
RU002.6.b	10	47	RU002	6	b	nat	cut	22	NA	NA	y	NA
UA008.18.e	10	48	UA008	18	e	nat	cut	15	NA	NA	n	NA
US014.22.h	10	49	US014	22	h	inv	cut	15	NA	NA	n	NA
UA002.18.e	10	50	UA002	18	e	nat	cut	17	NA	NA	n	NA
CA007.2.a	11	2	CA007	2	a	inv	cut	19	NA	NA	n	NA
RO005.25.f	11	4	RO005	25	f	nat	cut	18	NA	NA	y	NA
UA003.9A.a	11	5	UA003	9A	a	nat	cut	16	NA	NA	n	NA
CA001.2.c	11	6	CA001	2	c	inv	cut	20	NA	NA	n	NA
TR003.2.f	11	8	TR003	2	f	nat	cut	17	NA	NA	n	NA
HU001.14.k	11	9	HU001	14	k	nat	cut	15	NA	NA	n	NA
US001.3.i	11	10	US001	3	i	inv	cut	17	NA	NA	n	NA
RU008.21.d	11	11	RU008	21	d	nat	cut	20	NA	NA	n	NA
US022.42.k	11	13	US022	42	k	inv	cut	19	NA	NA	n	NA
GR003.3.g	11	14	GR003	3	g	nat	cut	24	NA	NA	n	NA
